	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
WD_C-C2_09	0.993054199914062	1987598	0.8994	4832	26711	0.0186440043427801	0.076626498528474	0.378193850024187	FALSE	TRUE
WD_C-C2_10	0.988827990826391	2181929	0.9013	5389	30699	0.0137789504544122	0.0439421243630285	0.376300089765627	FALSE	TRUE
WD_C-C2_11	0.988152227512142	1008443	0.8917	2951	10670	0.0531396438612933	0.108456705356719	0.322881122659889	FALSE	TRUE
WD_C-C2_12	0.983407178608256	2319593	0.9048	5181	27175	0.0306163753449862	0.034387965447045	0.358170990908622	FALSE	TRUE
WD_C-C2_13	0.99201768813339	1337428	0.9069	3682	11462	0.0286162973303088	0.0973982780104369	0.355284675398584	FALSE	TRUE
WD_C-C2_14	0.986374266263515	544662	0.8484	279	8295	0.00204942736588306	0.232624885279055	0.116994634176438	FALSE	FALSE
WD_C-C2_15	0.986891691400743	2710866	0.7487	5002	27500	0.0220727272727273	0.0555274392149189	0.388068144294162	FALSE	TRUE
WD_C-C2_16	0.992909063646682	2481425	0.8809	4307	25552	0.0189026299311209	0.0602792735824356	0.350165134323766	FALSE	TRUE
WD_C-C2_17	0.989647823352666	2177136	0.8981	4087	12276	0.0273704789833822	0.0428274957572351	0.344205477188877	FALSE	TRUE
WD_C-C2_18	0.992561305113455	2583931	0.9054	5086	25568	0.0138063204005006	0.0397620692730945	0.374964506360765	FALSE	TRUE
WD_C-C2_19	0.989097400811943	2699803	0.903	5083	20454	0.0339786838760145	0.0480032317390796	0.37260130695894	FALSE	TRUE
WD_C-C2_20	0.96472725006979	2179448	0.9029	4541	19688	0.0190979276716782	0.0309883142806442	0.346288235743027	FALSE	TRUE
WD_C-C2_21	0.98859921150566	1288901	0.8817	3245	8340	0.0366906474820144	0.0772959465654803	0.346801156226155	FALSE	TRUE
WD_C-C2_22	0.986620119148028	2384727	0.9013	4395	18439	0.0325397255816476	0.037610174305258	0.348550390903434	FALSE	TRUE
WD_C-C2_23	0.981660190093406	1071767	0.8873	2682	8309	0.046937056204116	0.100516372534788	0.323276480795671	FALSE	TRUE
WD_C-C2_24	0.990300071560401	2035831	0.9061	4069	13588	0.0543126287901089	0.0571734674655998	0.358936111730953	FALSE	TRUE
WD_C-C2_25	0.993130449508926	2254831	0.9064	4593	23982	0.0251021599532983	0.061656340817975	0.369712941800078	FALSE	TRUE
WD_C-C2_26	0.989217004044873	2608063	0.8881	2295	6952	0.181962025316456	0.0505646227867659	0.172544119404571	FALSE	FALSE
WD_C-C2_27	0.988997051441934	1534610	0.8907	3683	13698	0.0255511753540663	0.0626117078963472	0.349481157946643	FALSE	TRUE
WD_C-C2_28	0.726628082776676	1927834	0.8872	3952	10842	0.0319129311935067	0.0344803437348504	0.351888072418981	FALSE	FALSE
WD_C-C2_29	0.988961178897247	2124438	0.9077	4233	15987	0.0167010696190655	0.0746303155959544	0.359645823180015	FALSE	TRUE
WD_C-C2_30	0.989608838633571	3385856	0.9026	5588	35974	0.0148718518930339	0.0256337218189666	0.367997154091247	FALSE	TRUE
WD_C-C2_31	0.950369557071491	1937784	0.9086	3931	11836	0.0311760729976343	0.0532043694052428	0.360872362663265	FALSE	TRUE
WD_C-C2_32	0.993351259166118	3016191	0.904	4871	24482	0.0227922555346785	0.0436346052299941	0.365436713557824	FALSE	TRUE
WD_C-C2_33	0.984919491515266	908642	0.9048	3031	7442	0.0343993550120935	0.128920756941166	0.339318575399631	FALSE	TRUE
WD_C-C2_34	0.965771382929058	1920710	0.8997	4117	13514	0.0243451235755513	0.0520224904082918	0.357241528707076	FALSE	TRUE
WD_C-C2_35	0.975884929343385	1186369	0.8978	3310	10300	0.0246601941747573	0.0757168988211442	0.336370158703761	FALSE	TRUE
WD_C-C2_36	0.935857612407817	881387	0.8777	3140	8227	0.0284429318098943	0.074350181999781	0.338496196838894	FALSE	TRUE
WD_C-C2_37	0.993099742851346	2543430	0.9043	5614	24671	0.0271168578492967	0.0514967393406027	0.378072961679669	FALSE	TRUE
WD_C-C2_38	0.966891457830296	1746753	0.8472	3161	11331	0.0284176153914041	0.0554934647173925	0.30518910987487	FALSE	TRUE
WD_C-C2_39	0.984982082454686	1526187	0.906	3987	12073	0.0247660067920152	0.065180227394983	0.355623500198986	FALSE	TRUE
WD_C-C2_40	0.991385939958337	1780586	0.9058	4185	19890	0.040623428858723	0.0604380385819497	0.368982946183193	FALSE	TRUE
WD_C-C2_41	0.993694126873341	2715123	0.9044	4783	25288	0.0131683011705157	0.0491167721121213	0.358710468094119	FALSE	TRUE
WD_C-C2_42	0.984569560893161	3368247	0.9003	5559	36620	0.0261878754778809	0.0413587473288358	0.381158755853904	FALSE	TRUE
WD_C-C2_43	0.991808608410297	1660793	0.8958	4268	19879	0.0426077770511595	0.0485833585832256	0.348874359757049	FALSE	TRUE
WD_C-C2_44	0.988958173225661	2004563	0.903	4139	12236	0.0349787512258908	0.0408043673932164	0.36742511577474	FALSE	TRUE
WD_C-C2_45	0.991688951409114	2067254	0.9114	5115	25815	0.0177028859190393	0.0599318132200936	0.383912060009824	FALSE	TRUE
WD_C-C2_46	0.981459508330822	1276916	0.8882	2771	8377	0.05968723886833	0.0694683412055657	0.3081549252704	FALSE	TRUE
WD_C-C2_47	0.833585401838351	153548	0.8302	29	60	0.116666666666667	0.9293236159864	0.0455829533913774	FALSE	FALSE
WD_C-C2_48	0.990703696994086	2382348	0.905	4336	14572	0.0337633818281636	0.0637647200709837	0.368198674104713	FALSE	TRUE
WD_C-C2_49	0.989160979966796	1006143	0.858	849	13019	0.0217374606344573	0.118443324744775	0.191965244985041	FALSE	FALSE
