p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-20494-2	6.78473675707301e-09	0.0593662494824368	0.391	0.048	0.00226348316847416	Mast	Peak-20494-2
Peak-86189-1	6.95683503384107e-09	0.0644435286266857	0.304	0.028	0.00232089756297985	Mast	Peak-86189-1
Peak-19547-2	7.26104120611176e-09	0.0519265704415982	0.304	0.028	0.00242238500093577	Mast	Peak-19547-2
Peak-38001-2	7.90874645426692e-09	0.0660838946542521	0.304	0.028	0.00263846853959381	Mast	Peak-38001-2
Peak-123996-1	7.90874645426692e-09	0.0570272582445315	0.304	0.028	0.00263846853959381	Mast	Peak-123996-1
Peak-80657-1	8.61249317875239e-09	0.115135312411157	0.304	0.028	0.0028732482993363	Mast	Peak-80657-1
Peak-65663-1	8.99933320960929e-09	0.0568581902935276	0.391	0.048	0.00300230354939059	Mast	Peak-65663-1
Peak-135296-1	9.38720242054647e-09	0.0512225389949849	0.348	0.036	0.00313170214832819	Mast	Peak-135296-1
Peak-70985-1	9.65450429831848e-09	0.0558909316929812	0.391	0.048	0.00322087779697922	Mast	Peak-70985-1
Peak-54543-2	9.99924835801775e-09	0.0563772762922823	0.391	0.048	0.00333588924171174	Mast	Peak-54543-2
Peak-19013-4	1.01942875668217e-08	0.0985919901364353	0.435	0.063	0.00340095705231766	Mast	Peak-19013-4
Peak-12530-2	1.01942875668217e-08	0.0761934641107381	0.435	0.063	0.00340095705231766	Mast	Peak-12530-2
Peak-135739-2	1.02072527184666e-08	0.0607345667948885	0.304	0.028	0.00340528240841851	Mast	Peak-135739-2
Peak-113695-1	1.08629842762441e-08	0.0722893761926075	0.435	0.063	0.00362404363633489	Mast	Peak-113695-1
Peak-18869-2	1.10972773826789e-08	0.1190796117078	0.652	0.163	0.00370220709674503	Mast	Peak-18869-2
Peak-17382-2	1.15742315466767e-08	0.0618361388450232	0.435	0.063	0.00386132568321299	Mast	Peak-17382-2
Peak-97075-1	1.17128564894341e-08	0.103780041097516	0.478	0.079	0.00390757290486606	Mast	Peak-97075-1
Peak-3945-12	1.2143271208065e-08	0.0662034622932924	0.522	0.087	0.00405116528080739	Mast	Peak-3945-12
Peak-61768-2	1.26078709393169e-08	0.0594450627903034	0.304	0.028	0.00420616225554926	Mast	Peak-61768-2
Peak-84580-1	1.27729486345061e-08	0.0643469262855919	0.348	0.04	0.00426123448575213	Mast	Peak-84580-1
Peak-52762-3	1.43685921002138e-08	0.0779444152395154	0.478	0.079	0.00479356348492073	Mast	Peak-52762-3
Peak-107217-1	1.63229526884745e-08	0.0546341414206702	0.261	0.02	0.00544556553821273	Mast	Peak-107217-1
Peak-23464-4	1.76478115292364e-08	0.129068165455371	0.435	0.067	0.00588755699551469	Mast	Peak-23464-4
Peak-51638-3	1.77384142850802e-08	0.0657801311980843	0.391	0.052	0.00591778334330273	Mast	Peak-51638-3
Peak-89096-1	1.79747927172905e-08	0.051883779678909	0.217	0.012	0.00599664249758614	Mast	Peak-89096-1
Peak-94694-1	1.79851676721347e-08	0.0591556280602319	0.435	0.063	0.00600010372777154	Mast	Peak-94694-1
Peak-7696-1	1.85305469468157e-08	0.0691034705591305	0.348	0.04	0.00618204988911498	Mast	Peak-7696-1
Peak-74304-1	1.92288385766992e-08	0.0712084164241114	0.348	0.04	0.00641500975292692	Mast	Peak-74304-1
Peak-32391-2	1.93167074228047e-08	0.0776427480054356	0.652	0.139	0.00644432403015157	Mast	Peak-32391-2
Peak-46505-1	2.1480481273301e-08	0.0592848434794219	0.348	0.04	0.00716618927951103	Mast	Peak-46505-1
Peak-10747-1	2.22599315940207e-08	0.132481850160198	0.783	0.226	0.00742622481880761	Mast	Peak-10747-1
Peak-102140-1	2.22863953872476e-08	0.0583463631760256	0.348	0.04	0.00743505351072124	Mast	Peak-102140-1
Peak-14950-2	2.36167194477247e-08	0.0869565741534562	0.739	0.167	0.00787886824183323	Mast	Peak-14950-2
Peak-120089-1	2.60096928479573e-08	0.0501292890378985	0.261	0.02	0.00867719766977843	Mast	Peak-120089-1
Peak-49907-1	2.61258916437378e-08	0.0544073497921506	0.435	0.063	0.00871596321483395	Mast	Peak-49907-1
Peak-37254-5	2.95240989593943e-08	0.0853289463327809	0.478	0.079	0.00984965275023936	Mast	Peak-37254-5
Peak-56590-1	3.03300091577279e-08	0.115496605652025	0.478	0.087	0.0101185156751462	Mast	Peak-56590-1
Peak-156154-1	3.08867396061308e-08	0.0592940216730058	0.304	0.032	0.0103042487469597	Mast	Peak-156154-1
