species	organ	plate	cell	ABratio	cleanReads	mpRatio	genes	nUMI	mito	avg.cor	filter	CO
human	blood	PR10_XXL_X-B-2	PR10XB2cell72	0.957691327875189	508160	0.8275	3279	14866	0.0445984124848648	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell73	0.957386882684605	1501417	0.866	4217	33134	0.0436711534979175	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell74	0.939427511516476	1206909	0.8699	3496	23914	0.0571631680187338	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell75	0.931796849691697	394342	0.8696	2942	12655	0.0485183721849071	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell76	0.909862403512044	529003	0.8313	2331	9537	0.0632274300094369	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell77	0.985855795623722	1641018	0.9012	4436	38774	0.0336049930365709	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell78	0.976050305850565	1458174	0.8918	3873	26771	0.043218407978783	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell79	0.964115893327166	1456911	0.8927	3949	28194	0.0516421933744768	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell80	0.982630399292823	1031556	0.8649	3613	23200	0.0514224137931035	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell81	0.93756242793069	938203	0.8572	3477	40854	0.0620257502325354	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell82	0.927436176781198	1016430	0.8735	3325	49031	0.0348147090616141	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell83	0.974477688473372	840664	0.9048	3821	50930	0.0384252896131946	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell84	0.913668644908543	481724	0.8167	2472	19915	0.0530755711775044	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell85	0.981924531413828	1078497	0.8773	3907	52873	0.0652317818168063	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell86	0.972789272148178	975732	0.8904	3640	43371	0.0387125037467432	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell87	0.978687415860402	968651	0.8923	3564	41146	0.0433577990570165	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell88	0.983310001668275	1032320	0.8763	3320	40334	0.036991124113651	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell89	0.944711167804427	639673	0.8564	3389	20993	0.0362501786309722	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell90	0.949601907853749	923419	0.8798	3313	19298	0.0528033993159913	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell91	0.968216601305721	406890	0.8816	2632	12621	0.0457966880595832	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell92	0.879348747063629	217774	0.7681	1822	6320	0.0833860759493671	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell93	0.98920526248563	1120204	0.8948	3675	26278	0.0438389527361291	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell94	0.974427879613865	533738	0.8378	3084	15645	0.0478747203579418	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell95	0.988729884153693	1165343	0.8903	4201	32948	0.0651632876047104	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell96	0.929627379505873	201834	0.7581	2351	8457	0.078633085018328	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell1	0.953788390541309	2369990	0.8667	4436	37352	0.0518579995716427	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell2	0.927166613367445	1849541	0.8674	3844	24628	0.0570894916355368	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell3	0.974922003535196	1741175	0.8902	4255	31895	0.0406646809844803	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell4	0.930932277876546	1238565	0.8237	3077	16423	0.0919442245631127	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell5	0.981295130075966	3042624	0.8938	4785	50685	0.0439972378415705	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell6	0.969592775504445	1964389	0.8877	3846	20819	0.063115423411307	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell7	0.960605169280704	2249915	0.8952	4462	32475	0.0353810623556582	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell8	0.984561346897661	2047962	0.8717	3975	28867	0.0405653514393598	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell9	0.962633037175898	2934927	0.8854	5268	53084	0.0265428377665587	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell10	0.915131841595342	1739826	0.8645	3732	26545	0.0496892070069693	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell11	0.97075311860272	1106169	0.8878	3541	21346	0.0402417314719385	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell12	0.910667690693962	666519	0.8142	2449	10728	0.0597501864280388	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell13	0.980152914747115	1305179	0.8899	3740	26104	0.0480003064664419	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell14	0.977737801633441	2037023	0.8869	4347	35493	0.0521511283915138	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell15	0.983539794078332	2598666	0.8924	4608	40168	0.0326379207329217	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell16	0.972129798683515	1117761	0.873	3669	22967	0.0479383463229852	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell17	0.937724812816391	2285598	0.8792	4579	35270	0.0455911539552027	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell18	0.936440492091176	2119585	0.8473	4384	32952	0.0512260257344016	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell19	0.97160750643509	1410691	0.9008	4126	26359	0.0370272013354073	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell20	0.918572115257406	996591	0.8042	3043	13338	0.0591542959964013	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell21	0.97375662998823	1859567	0.8961	4459	34379	0.0384537072049798	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell22	0.982636291589083	2932637	0.9007	5083	45622	0.0450440576914646	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell23	0.947983824363168	1571318	0.8855	4663	29883	0.0420640497941974	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell24	0.984050118163536	2432957	0.8936	4763	38624	0.0526356669428335	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell25	0.939297521822707	1986145	0.8558	4529	33715	0.0505413020910574	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell26	0.907231662564435	1998347	0.8719	4251	29813	0.0452822594170328	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell27	0.973599053548202	1523232	0.9053	4603	35615	0.0369226449529693	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell28	0.891150529054068	900266	0.8377	2846	13333	0.0688517212930323	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell29	0.983685762639393	2748352	0.8934	4792	45699	0.0508763867918335	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell30	0.983655998201267	3064398	0.8964	5079	55624	0.0425355961455487	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell31	0.97483495395313	2721633	0.8952	5033	46534	0.0326213091502987	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell32	0.983929644653454	2349430	0.8949	5033	45227	0.0430273951400712	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell33	0.916340485767155	1557864	0.8629	3827	33523	0.0369298690451332	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell34	0.918906517137981	1381378	0.8546	3671	28650	0.0397207678883072	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell35	0.96511494273731	953278	0.8823	3112	21618	0.0499583680266445	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell36	0.902217599247858	836265	0.825	2578	13977	0.0616727480861415	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell37	0.987486569522514	2444954	0.8898	4209	52849	0.0359325625839656	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell38	0.985669994002922	2495434	0.8917	4588	55258	0.0399218212747475	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell39	0.982525446376366	1931706	0.884	4230	42036	0.0408221524407651	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell40	0.984820273820708	2420464	0.8944	4102	43440	0.0255064456721915	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell41	0.900456469578448	1207915	0.8754	4571	54309	0.0449280966322341	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell42	0.895302930029334	1340067	0.8805	4249	63020	0.0510790225325294	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell43	0.970577585561676	1244293	0.8805	3806	44294	0.0427823181469274	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell44	0.927455273801179	1019507	0.821	3294	32732	0.0683429060246853	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell45	0.981188288866218	2087175	0.8903	4447	80521	0.0425230685162877	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell46	0.974291470597837	2157379	0.9015	4782	88562	0.0378266073485242	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell47	0.966832026935516	2869812	0.9015	5245	121527	0.0292609872703185	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell48	0.97946729508568	1716819	0.8776	4244	60560	0.0358982826948481	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell49	0.949098264493649	2406136	0.878	4495	46089	0.0477554297120788	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell50	0.903980320428311	1677082	0.8724	4051	39069	0.0424889298420743	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell51	0.966612296350872	1064339	0.819	3589	24992	0.0397727272727273	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell52	0.902603695755371	943213	0.8556	3053	20687	0.0671436167641514	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell53	0.982319472753201	2117781	0.8899	4074	41915	0.0431826315161637	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell54	0.980846636429887	3498794	0.8934	5470	79203	0.0528641591858894	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell55	0.978413208807486	2084437	0.8749	4624	46515	0.0816295818553155	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell56	0.973177874235642	1504327	0.8848	4403	45357	0.0463875476773155	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell57	0.921518368527866	1476095	0.8648	4454	68517	0.0317001620035903	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell58	0.961343291050365	3185496	0.8797	5160	162734	0.0708579645310752	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell59	0.961560293542041	753527	0.8882	3614	39570	0.0412180945160475	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell60	0.809346154198711	471725	0.819	2839	18616	0.0668779544477869	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell61	0.975074472898868	1886426	0.8968	4353	86852	0.0493713443559158	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell62	0.97913659679066	2460565	0.8985	4767	92668	0.0509776837743342	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell63	0.963661059422026	1830393	0.9024	4861	83521	0.0497838866871805	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell64	0.974648213668884	1764953	0.8822	4297	79161	0.0443400159169288	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell65	0.951797988086723	2419088	0.8862	5231	52698	0.0358647386997609	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell66	0.923851279776868	2135163	0.8534	4288	36754	0.0624149752407901	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell67	0.973120279342646	1431309	0.8948	3987	29995	0.0415735955992665	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell68	0.904757566237302	1061215	0.8286	3395	17610	0.0554230550823396	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell69	0.98183823424822	2256527	0.8897	4727	47009	0.0376736369631347	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell70	0.966921494946176	2452600	0.8925	4944	44923	0.0443425416824344	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell71	0.984284558921045	3404591	0.9042	5423	65820	0.0426921908234579	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell72	0.969554840874558	1193016	0.8665	4013	26876	0.0427146896859652	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell73	0.928112703268395	1701026	0.8414	4222	35064	0.0413814738763404	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell74	0.937314316851856	2308009	0.872	4381	53723	0.0562887403905218	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell75	0.970919654569597	1280911	0.8809	3553	25796	0.0450069778260195	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell76	0.926469414559503	1159634	0.8549	3087	19674	0.0703974789061706	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell77	0.984067899160468	1932156	0.8886	4134	39534	0.0433803814438205	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell78	0.932672167503494	840747	0.8651	3665	21570	0.0324524802967084	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell79	0.948007031986281	1390454	0.886	4375	33651	0.0418412528602419	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell80	0.979543230016313	1234216	0.877	3875	28071	0.0417512735563393	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell81	0.934000277675589	1577227	0.8662	4280	67109	0.0486223904394344	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell82	0.906453531369686	1320092	0.8759	3778	58590	0.0373271889400922	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell83	0.981241802123502	1504543	0.9056	3978	74675	0.0330632741881486	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell84	0.901142107848575	634621	0.8286	2469	21262	0.0552158780923714	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell85	0.965343015674141	1248604	0.8857	4315	91549	0.0596511157959126	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell86	0.977573257947546	2222351	0.8991	4343	73936	0.0305399264228522	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell87	0.976336243637456	1299176	0.8935	4134	57570	0.0546291471252388	1	TRUE	B cells
human	blood	PR10_XXL_X-B-3	PR10XB3cell88	0.799906780358073	152728	0.8185	2890	12309	0.0395645462669591	1	FALSE	NA
human	blood	PR10_XXL_X-B-3	PR10XB3cell89	0.960146848366233	1935566	0.8725	4894	52317	0.0562914540206816	1	TRUE	B cells
