orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
WT_4_9-3	WT	140016	16654	1	9546	atac	Fibro-KCNJ8	0.438253038598919
WT_4_9-4	WT	242563	25916	0.999999999999947	11756	atac	Fibro-NRK	0.424114777208815
WT_4_9-5	WT	217368	23866	1	11279	atac	Fibro-IRF1	0.340140777842605
WT_4_9-6	WT	205106	20176	0.999999999999886	10095	atac	Fibro-ADAM28	0.380198886350955
WT_4_9-7	WT	278008	26080	0.99999999999999	11806	atac	DC/Macro	0.784365573552138
WT_4_9-8	WT	186562	21596	0.999999999999972	10815	atac	Fibro-VSTM2A	0.279252811570195
WT_4_10-1	WT	266299	26087	0.999999999999946	11786	atac	Fibro-VSTM2A	0.734721606060236
WT_4_10-2	WT	210905	22856	1	10968	atac	CACNA1A-ELF3+	0.568437547569457
WT_4_10-3	WT	183464	21666	1.00000000000001	10762	atac	Fibro-ADAM28	0.408309823225933
WT_4_10-4	WT	349583	31284	0.999999999999824	12564	atac	Fibro-FBLN1	0.568572324413437
WT_4_10-5	WT	229147	24845	0.999999999999926	11503	atac	Fibro-FBLN1	0.685392290479368
WT_4_10-6	WT	254264	26020	0.99999999999975	11619	atac	Fibro-FBLN1	0.882887188189049
WT_4_10-7	WT	283816	28465	1.00000000000013	12151	atac	Fibro-NRK	0.586860464012908
WT_4_10-8	WT	234620	25041	0.999999999999771	11601	atac	Fibro-KCNJ8	0.649820749312326
WT_4_11-1	WT	219644	24320	0.99999999999988	11366	atac	Fibro-ADAM28	0.56728534745953
WT_4_11-2	WT	213968	23172	0.999999999999841	11266	atac	Fibro-VSTM2A	0.493392288404521
WT_4_11-3	WT	206792	22848	0.999999999999873	11161	atac	Fibro-ADAM28	0.54109081842915
WT_4_11-5	WT	228816	24535	1.00000000000012	11705	atac	Fibro-ADAM28	0.427676226038407
WT_4_11-6	WT	252013	25765	0.999999999999893	11598	atac	Fibro-ADAM28	0.459116344921343
WT_4_11-7	WT	236118	24648	1.00000000000009	11724	atac	Fibro-VSTM2A	0.450754258923613
WT_4_11-8	WT	366617	31784	1.00000000000019	12873	atac	Fibro-ADAM28	0.598132219744414
WT_4_12-1	WT	212237	24407	0.999999999999931	11493	atac	Fibro-VSTM2A	0.244549870188484
WT_4_12-2	WT	234124	23278	1.00000000000001	11652	atac	Fibro-VSTM2A	0.593913399128479
WT_4_12-3	WT	136912	18365	0.999999999999974	9790	atac	Fibro-FBLN1	0.310562935880336
WT_4_12-4	WT	196791	23083	1.00000000000023	11004	atac	Fibro-IRF1	0.239753272631365
WT_4_12-5	WT	238170	24821	0.999999999999994	11576	atac	Fibro-VSTM2A	0.51624817805017
WT_4_12-6	WT	335100	31854	0.999999999999923	12733	atac	Fibro-FBLN1	0.540845279266581
WT_4_12-7	WT	458494	35946	0.999999999999805	13079	atac	CACNA1A-ELF3+	0.632640091664577
WT_4_12-8	WT	362271	31529	1.00000000000002	12854	atac	Fibro-VSTM2A	0.737233653910472
WT_5_1-1	WT	240547	24983	1.00000000000007	11551	atac	SM-Visceral	0.572024847693999
WT_5_1-2	WT	226992	24891	0.99999999999988	11231	atac	Fibro-FBLN1	0.62359415660659
WT_5_1-3	WT	246636	25925	0.999999999999914	11890	atac	Fibro-KCNJ8	0.566565655218915
WT_5_1-4	WT	374554	34300	0.999999999999882	12990	atac	Epi	0.720224830684145
WT_5_1-5	WT	178972	20242	0.999999999999996	10580	atac	Fibro-FBLN1	0.376880504914337
WT_5_1-6	WT	266018	26172	0.99999999999982	11986	atac	Epi	0.623097300165976
WT_5_1-7	WT	262528	27226	1.0000000000002	11912	atac	Fibro-ADAM28	0.438453924161193
WT_5_1-8	WT	260418	25827	1.00000000000011	11962	atac	Fibro-VSTM2A	0.322626823522531
WT_5_2-1	WT	236558	25225	0.999999999999779	11593	atac	Fibro-NRK	0.501702193870428
WT_5_2-2	WT	191772	22238	1.00000000000014	10827	atac	Fibro-PRSS35	0.523597179479507
WT_5_2-3	WT	190801	21836	1.00000000000006	10636	atac	Endo	0.73293376142249
WT_5_2-4	WT	143111	17195	1.00000000000002	9386	atac	Fibro-ADAM28	0.407429747420639
WT_5_2-6	WT	195297	21759	0.999999999999917	11042	atac	Fibro-NRK	0.293179859982672
WT_5_2-7	WT	289656	27873	0.999999999999994	12208	atac	Epi	0.53047181999052
WT_5_2-8	WT	309239	29228	1.00000000000016	12458	atac	Epi	0.550472251401432
WT_5_3-1	WT	217012	23177	1.00000000000019	11442	atac	Fibro-VSTM2A	0.655751479389136
WT_5_3-2	WT	149570	19082	0.999999999999994	10395	atac	Fibro-ADAM28	0.501768044313982
