RNA_cell	ATAC_cell	score
WT_C-C11_48	WT_5_8-5	0.121212121212121
WDOU_C-B3_93	WT_5_8-7	1
WDOU_C-C5_24	WT_5_8-7	1
WDOU_C-D3_53	WT_5_9-2	0.212121212121212
WDOU_C-D4_64	WT_5_9-2	0.0606060606060606
WT_C-B4_61	WT_5_9-2	0.212121212121212
WT_C-C6_09	WT_5_9-4	0.0303030303030303
WT_C-C9_58	WT_5_10-3	0.0909090909090909
WD_C-B7_14	WT_5_10-3	0.0606060606060606
WT_C-D9_22	WT_5_10-6	0.0606060606060606
WT_C-D11_74	WT_5_10-6	0.121212121212121
WT_C-C4_04	WT_5_11-3	0.666666666666667
WT_C-D8_62	WT_5_11-3	0.545454545454545
WT_C-B1_10	WT_5_11-3	0.545454545454545
WDOU_C-B8_12	WT_5_12-2	1
WDOU_C-C1_25	WT_5_12-2	1
WDOU_C-D5_89	WT_5_12-2	1
WT_C-C11_69	WT_5_12-3	0.636363636363636
WD_C-C3_82	WT_5_12-3	0.454545454545455
WD_C-C6_55	WT_5_12-3	0.757575757575758
WT_C-B2_86	WT_5_12-3	0.636363636363636
WDOU_C-D4_60	WD_4_1-2	1
WD_C-B3_70	WD_4_1-2	1
WDOU_C-C3_05	WD_4_1-6	0.545454545454545
WT_C-C8_50	WD_4_1-6	0.393939393939394
WT_C-D11_29	WD_4_1-6	0.242424242424242
WT_C-D11_44	WD_4_1-6	0.606060606060606
WT_C-D10_19	WD_4_1-7	1
WT_C-D12_19	WD_4_1-7	1
WT_C-B1_61	WD_4_1-7	1
WT_C-C2_17	WD_4_1-8	0.121212121212121
WT_C-D1_27	WD_4_2-1	0.575757575757576
WT_C-B1_48	WD_4_2-2	0.333333333333333
WT_C-B6_21	WD_4_2-2	0.212121212121212
WDOU_C-C7_71	WD_4_2-8	0.545454545454545
WT_C-C6_24	WD_4_2-8	0.393939393939394
WT_C-D8_01	WD_4_2-8	0.545454545454545
WT_C-D8_16	WD_4_2-8	0.545454545454545
WT_C-B1_81	WD_4_2-8	0.696969696969697
WDOU_C-C2_68	WD_4_3-2	0.181818181818182
WD_C-C8_41	WD_4_3-3	0.636363636363636
WD_C-B4_22	WD_4_3-4	0.0606060606060606
WDOU_C-C8_52	WD_4_3-5	0.424242424242424
WT_C-D5_70	WD_4_3-5	0.363636363636364
WT_C-D9_42	WD_4_3-5	0.515151515151515
WT_C-C5_02	WD_4_4-6	0.454545454545455
WDOU_C-C10_09	WD_4_4-8	0.787878787878788
WT_C-C9_86	WD_4_5-5	0.272727272727273
WD_C-C8_14	WD_4_5-5	0.0303030303030303
WT_C-C9_74	WD_4_5-6	1
WD_C-B3_34	WD_4_6-3	0.303030303030303
WD_C-B5_03	WD_4_6-3	0.242424242424242
WD_C-B8_14	WD_4_6-3	0.272727272727273
WT_C-B6_39	WD_4_6-3	0.212121212121212
WT_C-D11_07	WD_4_6-4	0.303030303030303
WT_C-C2_76	WD_4_6-6	0.181818181818182
WT_C-D8_01	WD_4_6-7	0.575757575757576
WT_C-B3_75	WD_4_6-7	0.575757575757576
WDOU_C-D6_08	WD_4_6-8	0.363636363636364
WT_C-D5_42	WD_4_6-8	0.363636363636364
WD_C-C3_35	WD_4_9-1	0.151515151515152
WT_C-D1_17	WD_4_9-4	0.242424242424242
WT_C-D9_71	WD_4_9-4	0
WDOU_C-B5_82	WD_4_10-7	1
WDOU_C-B8_35	WD_4_10-7	0.96969696969697
WDOU_C-B8_54	WD_4_10-7	0.696969696969697
WDOU_C-C4_72	WD_4_10-7	1
WDOU_C-D5_89	WD_4_10-7	0.787878787878788
WDOU_C-B6_18	WD_4_11-2	1
WDOU_C-C1_08	WD_4_11-2	0.939393939393939
WDOU_C-C1_36	WD_4_11-2	0.939393939393939
WDOU_C-D2_91	WD_4_11-2	0.878787878787879
WT_C-C7_57	WD_4_11-2	0.939393939393939
WDOU_C-C6_82	WD_4_12-2	0.727272727272727
WDOU_C-B5_75	WD_4_12-3	0.939393939393939
WT_C-D1_19	WD_4_12-3	1
WDOU_C-B7_08	WD_5_1-5	0.242424242424242
WT_C-C3_57	WD_5_1-5	0.393939393939394
WT_C-C10_31	WD_5_1-5	0.242424242424242
WDOU_C-C5_42	WD_5_1-6	0.454545454545455
WD_C-C1_53	WD_5_1-8	0.181818181818182
WDOU_C-B1_64	WD_5_2-1	0.909090909090909
WDOU_C-B2_94	WD_5_2-1	0.848484848484849
WDOU_C-B5_82	WD_5_2-1	0.939393939393939
WDOU_C-B6_15	WD_5_2-1	0.878787878787879
WDOU_C-B6_22	WD_5_2-1	0.878787878787879
WT_C-D11_26	WD_5_2-6	0.272727272727273
WD_C-B1_11	WD_5_2-6	0.151515151515152
WD_C-B2_06	WD_5_2-6	0.242424242424242
WD_C-C8_79	WD_5_2-6	0.303030303030303
WDOU_C-D2_04	WD_5_2-8	1
WDOU_C-D2_44	WD_5_2-8	0.939393939393939
WT_C-D9_13	WD_5_2-8	0.939393939393939
WDOU_C-C7_42	WD_5_3-5	0.212121212121212
WD_C-B6_38	WD_5_3-5	0.181818181818182
WD_C-C8_95	WD_5_3-5	0.575757575757576
WT_C-B7_72	WD_5_3-5	0.333333333333333
WDOU_C-C5_42	WD_5_5-2	0.333333333333333
WDOU_C-C1_65	WD_5_5-4	0.363636363636364
WT_C-C11_03	WD_5_5-6	0.606060606060606
WT_C-D10_19	WD_5_5-6	1
WD_C-B5_20	WD_5_5-6	1
WDOU_C-C6_85	WD_5_5-7	0.575757575757576
WD_C-C7_49	WD_5_5-7	0.515151515151515
WDOU_C-C3_21	WD_5_6-7	0.454545454545455
WD_C-C7_70	WD_5_6-7	0.393939393939394
WD_C-B3_02	WD_5_7-1	0.636363636363636
WD_C-B4_66	WD_5_7-1	0.151515151515152
WT_C-C6_61	WD_5_7-3	0.151515151515152
WDOU_C-C8_18	WD_5_8-2	0.333333333333333
WDOU_C-D2_48	WD_5_8-2	0.272727272727273
WT_C-C9_86	WD_5_8-2	0.393939393939394
WD_C-B5_37	WD_5_8-2	0.181818181818182
WD_C-B10_45	WD_5_8-3	0.181818181818182
WT_C-D7_39	WD_5_8-4	1
WDOU_C-B5_82	WD_5_8-7	1
WDOU_C-B8_56	WD_5_8-7	1
WDOU_C-D2_18	WD_5_8-7	1
WT_C-D8_43	WD_5_8-7	1
WD_C-B5_95	WD_5_8-7	1
WT_C-D8_15	WD_5_9-6	0.181818181818182
WD_C-C8_92	WD_5_9-8	0.121212121212121
WDOU_C-C3_55	WD_5_11-2	1
WDOU_C-C6_07	WD_5_11-2	1
WT_C-D4_16	WD_5_11-2	1
WD_C-B1_08	WD_5_11-2	1
WD_C-C3_59	WD_5_11-2	1
WDOU_C-B7_80	WD_5_11-3	0.515151515151515
WT_C-C11_22	WD_5_12-1	0.181818181818182
WT_C-D1_72	WD_5_12-4	0.333333333333333
WT_C-B5_90	WD_5_12-4	0.393939393939394
WDOU_C-D1_18	WD_5_12-8	0
WDOU_C-C7_37	WT_10_1-2	0.272727272727273
WT_C-C2_94	WT_10_1-2	0.272727272727273
WD_C-B6_75	WT_10_1-4	0.242424242424242
WD_C-B9_73	WT_10_1-4	0.272727272727273
WD_C-B9_94	WT_10_1-4	0.0909090909090909
WD_C-C8_17	WT_10_1-4	0.212121212121212
WT_C-D1_76	WT_10_1-6	0.333333333333333
WT_C-D10_04	WT_10_1-6	0.515151515151515
WT_C-D10_10	WT_10_1-6	0.515151515151515
WT_C-D1_08	WT_10_1-7	0.454545454545455
WDOU_C-D1_16	WT_10_2-1	0.121212121212121
WDOU_C-D5_51	WT_10_2-1	0.0909090909090909
WT_C-C7_53	WT_10_2-1	0.121212121212121
WD_C-C6_16	WT_10_2-1	0.212121212121212
WDOU_C-B8_11	WT_10_2-2	0.606060606060606
WT_C-C11_06	WT_10_2-2	0.606060606060606
WT_C-D5_25	WT_10_2-2	0.545454545454545
WD_C-B2_61	WT_10_2-2	0.484848484848485
WT_C-B6_09	WT_10_2-2	0.575757575757576
WDOU_C-B3_89	WT_10_2-3	0.151515151515152
WT_C-C4_30	WT_10_2-3	0.181818181818182
WT_C-C8_02	WT_10_3-4	0.909090909090909
WT_C-D2_73	WT_10_3-4	0.878787878787879
WT_C-D4_95	WT_10_3-4	0.939393939393939
WDOU_C-C8_80	WT_10_3-5	0.212121212121212
WDOU_C-C3_90	WT_10_4-1	0.151515151515152
WT_C-D1_39	WT_10_4-1	0.242424242424242
WD_C-B7_85	WT_10_4-4	0.151515151515152
WDOU_C-B1_08	WT_10_4-7	0.424242424242424
WDOU_C-B3_87	WT_10_4-7	0.0909090909090909
WDOU_C-C6_48	WT_10_4-7	0.333333333333333
WT_C-C8_84	WT_10_4-7	0.515151515151515
WT_C-B5_57	WT_10_4-7	0.454545454545455
WDOU_C-C6_08	WT_10_5-4	0
WT_C-C4_05	WT_10_5-5	0.272727272727273
WD_C-B2_52	WT_10_5-6	0.151515151515152
WT_C-B7_02	WT_10_5-6	0.121212121212121
WD_C-C6_11	WT_10_5-7	0.242424242424242
WD_C-C8_90	WT_10_5-7	0.272727272727273
WDOU_C-D1_75	WT_10_6-1	0.0606060606060606
WDOU_C-B7_06	WT_10_6-2	1
WDOU_C-B7_63	WT_10_6-2	1
WD_C-B1_47	WT_10_6-2	1
WD_C-B9_84	WT_10_6-2	1
WD_C-C1_31	WT_10_6-2	1
WDOU_C-C5_68	WT_10_6-6	0.272727272727273
WD_C-B3_45	WT_10_7-8	0.212121212121212
WD_C-B5_34	WT_10_7-8	0.272727272727273
WD_C-B9_22	WT_10_7-8	0.393939393939394
WD_C-C8_22	WT_10_7-8	0.181818181818182
