RNA_cell	ATAC_cell	score
FDM_D-C5_02	ZXF_2_12-8	0.45
FDM_D-C5_93	ZXF_2_12-8	0.325
ZDM_D-A4_15	ZXF_2_12-8	0.35
FDM_D-C4_19	ZXF_4_2-2	0.2
ZDM_D-A5_01	ZXF_4_2-2	0.375
FDM_D-A1_95	ZXF_4_2-7	1
FDM_D-C2_72	ZXF_4_2-7	1
FDM_D-C3_75	ZXF_4_2-7	1
FDM_D-C3_92	ZXF_4_2-7	1
FDM_D-C5_70	ZXF_4_2-7	1
FDM_D-C4_89	ZXF_4_3-1	0.125
BM_D-C4_15	ZXF_4_3-4	0.25
ZDM_D-A5_85	ZXF_4_3-4	0.125
ZDM_D-C1_94	ZXF_4_4-4	0.225
ZDM_D-A2_04	ZXF_4_4-4	0.2
ZDM_D-A5_09	ZXF_4_4-4	0.05
FDM_D-A1_08	ZXF_4_4-6	0.45
ZDM_D-A2_24	ZXF_4_4-6	0.15
ZDM_D-A2_81	ZXF_4_4-6	0.225
ZDM_D-A5_16	ZXF_4_4-6	0.025
BM_D-C1_21	ZXF_4_4-7	0.375
FDM_D-C4_57	ZXF_4_4-8	0.4
ZDM_D-A2_21	ZXF_4_4-8	0.4
ZDM_D-A2_24	ZXF_4_4-8	0.375
ZDM_D-A5_75	ZXF_4_4-8	0.25
ZDM_D-A5_79	ZXF_4_4-8	0.45
FDM_D-C4_15	ZXF_4_6-6	0.425
FDM_D-C4_68	ZXF_4_6-6	0.175
ZDM_D-A3_60	ZXF_4_6-6	0.175
ZDM_D-A5_78	ZXF_4_6-6	0.2
BM_D-C3_76	ZXF_4_7-3	0.325
ZDM_D-C1_53	ZXF_4_7-7	0.725
ZDM_D-C1_89	ZXF_4_7-7	0.9
BM_D-C3_20	ZXF_4_7-7	0.825
FDM_D-C2_60	ZXF_4_7-7	0.9
FDM_D-C2_77	ZXF_4_7-7	0.95
ZDM_D-C1_44	ZXF_4_8-4	0.025
BM_D-C2_44	ZXF_4_8-8	0.025
ZDM_D-A5_01	ZXF_4_8-8	0.075
FDM_D-C5_43	ZXF_4_9-7	0.225
FDM_D-C3_14	ZXF_4_10-6	0.925
ZDM_D-A4_75	ZXF_4_11-3	0.125
ZDM_D-A5_34	ZXF_4_11-3	0.15
ZDM_D-A5_44	ZXF_4_11-8	0.55
FDM_D-C2_87	ZXF_4_12-3	0.25
ZDM_D-A5_73	ZXF_4_12-3	0.25
ZDM_D-C1_48	ZXF_4_12-4	0.3
FDM_D-C3_56	ZXF_4_12-4	0.3
FDM_D-C5_11	ZXF_4_12-4	0.075
ZDM_D-A2_44	ZXF_4_12-8	0.2
ZDM_D-A3_15	ZXF_4_12-8	0.125
FDM_D-C3_77	ZXS_2_3-1	0.625
FDM_D-C4_85	ZXS_2_3-1	0.65
ZDM_D-A4_95	ZXS_2_5-2	1
BM_D-C2_25	ZXS_2_5-5	0.225
BM_D-C3_11	ZXS_2_5-5	0.375
FDM_D-C4_27	ZXS_2_6-1	1
ZDM_D-A2_09	ZXS_2_6-1	1
