	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SEZC-7_94	0.91069482162981	117146	0.7982	580	887	0.0259301014656144	0.975894059278113	0.223442984645304	FALSE	FALSE
SEZC-7_95	0.96023573217755	820511	0.8971	2655	9149	0.0551972893212373	0.0913702917679007	0.319397400206731	FALSE	TRUE
SEZC-7_96	0.759350866344775	139496	0.8255	943	1427	0.0995094604064471	0.286934484700582	0.19765134428536	FALSE	FALSE
SEZC-8_01	0.989399549751716	5355239	0.9188	5840	46982	0.0606189604529394	0.0219314636167596	0.359092778700382	FALSE	TRUE
SEZC-8_02	0.914058259453591	703238	0.8486	1044	4875	0.0683076923076923	0.19063174687974	0.236368762406519	FALSE	TRUE
SEZC-8_03	0.929699473578997	105171	0.7739	315	388	0.0128865979381443	0.985447739816283	0.177212906739411	FALSE	FALSE
SEZC-8_05	0.983498721818683	2340043	0.9132	3941	17024	0.0472861842105263	0.0385528014680481	0.353826890123763	FALSE	TRUE
SEZC-8_06	0.983619052476017	2019701	0.9024	3854	16613	0.0442424607235298	0.0721016650492507	0.351969589044937	FALSE	TRUE
SEZC-8_07	0.979722911047168	1480388	0.9017	2692	8987	0.0778902859686213	0.116784304606422	0.326462697677784	FALSE	TRUE
SEZC-8_08	0.99053941155732	2899696	0.9158	3951	19959	0.0250012525677639	0.053478502679026	0.36621110052198	FALSE	TRUE
SEZC-8_09	0.948849676449748	1477562	0.89	1810	14761	0.0432220039292731	0.0661398856793744	0.278087402898921	FALSE	TRUE
SEZC-8_10	0.851759382070687	335239	0.8196	773	1445	0.228373702422145	0.373139944583177	0.18771161751616	FALSE	FALSE
SEZC-8_11	0.971904597670655	263397	0.8549	604	2865	0.00977312390924956	0.292890041141667	0.223081111492182	FALSE	FALSE
SEZC-8_13	0.934360091186125	139647	0.7272	403	522	0.0268199233716475	0.981117791137831	0.19967433188815	FALSE	FALSE
SEZC-8_14	0.987596345512538	3833849	0.9141	5208	31373	0.0648965671118478	0.0847509831699766	0.357658261156022	FALSE	TRUE
SEZC-8_15	0.980880050389694	2295423	0.9135	3497	15751	0.0497111294520983	0.0568534633515465	0.345407722296865	FALSE	TRUE
SEZC-8_16	0.981052735151287	868503	0.8813	792	7985	0.015278647463995	0.0838407929481785	0.238781196536688	FALSE	FALSE
SEZC-8_17	0.955507446929925	2139412	0.9101	4191	17591	0.052640554829174	0.0718678696005665	0.357773327455917	FALSE	TRUE
SEZC-8_18	0.934221176385787	1403954	0.9009	2713	8166	0.0549840803330884	0.136386391755526	0.308256237353542	FALSE	TRUE
SEZC-8_19	0.89800410628973	108824	0.7959	452	594	0.0151515151515152	0.98251578436134	0.209011431531331	FALSE	FALSE
SEZC-8_21	0.966816670633737	1268695	0.8979	2842	8151	0.0434302539565697	0.0889107138417166	0.331813886650413	FALSE	TRUE
SEZC-8_22	0.983939851595457	5026896	0.9098	5855	44117	0.0778838089625315	0.0306899866343115	0.358567549547366	FALSE	TRUE
SEZC-8_23	0.981878279717326	2655428	0.8998	4834	22008	0.0448018902217375	0.0678202710456783	0.34332006468794	FALSE	TRUE
SEZC-8_24	0.988549957689624	2534443	0.9127	4380	19607	0.0307543224358647	0.0553763371737805	0.371019150778418	FALSE	TRUE
SEZC-8_25	0.967501775635914	2416109	0.9098	4527	18508	0.034471579857359	0.0526079538047684	0.36560658827909	FALSE	TRUE
SEZC-8_26	0.945908024139473	1919864	0.8994	3399	12140	0.0508237232289951	0.0863965212005725	0.348527893240328	FALSE	TRUE
SEZC-8_27	0.982574799811087	1165061	0.9174	3513	12728	0.0281269641734758	0.0648870424161976	0.352741705632573	FALSE	TRUE
SEZC-8_29	0.970117813923402	1307992	0.9009	2698	8281	0.0618282816085014	0.106638269157775	0.314215395130974	FALSE	TRUE
SEZC-8_30	0.919591396386327	232910	0.7577	785	1204	0.0191029900332226	0.97639178861251	0.251786218361427	FALSE	FALSE
SEZC-8_31	0.969297123830684	1402677	0.8728	2394	8172	0.324155653450808	0.152370259069069	0.292104828726468	FALSE	FALSE
SEZC-8_32	0.989194560991239	2154223	0.9081	4066	19107	0.0305647145025383	0.07312706599395	0.366233229022544	FALSE	TRUE
SEZC-8_33	0.953964418725258	1572167	0.8974	3348	15901	0.077290736431671	0.113904882413279	0.334790381181987	FALSE	TRUE
SEZC-8_34	0.924252614910998	1135996	0.8525	949	10609	0.0340277123197285	0.116103941080337	0.232216931988747	FALSE	FALSE
SEZC-8_35	0.980758307611696	1541328	0.9164	4450	18587	0.0295905740571367	0.0480605250704628	0.362520274395584	FALSE	TRUE
SEZC-8_37	0.894485749358091	197551	0.7476	519	685	0.0204379562043796	0.984462807300818	0.219055668272829	FALSE	FALSE
SEZC-8_38	0.988001773393356	2533299	0.9078	4259	26659	0.0464383510259199	0.0510843673838792	0.359002759658257	FALSE	TRUE
SEZC-8_39	0.859301806552247	205273	0.8349	574	744	0.0362903225806452	0.986472062747635	0.223900298931883	FALSE	FALSE
SEZC-8_40	0.940576067762334	150883	0.7317	562	824	0.0230582524271845	0.982752173506591	0.237703386574398	FALSE	FALSE
SEZC-8_41	0.675358354305723	164425	0.727	941	1659	0.0289330922242315	0.974508900859048	0.261666136170349	FALSE	FALSE
SEZC-8_42	0.90174359061801	1085679	0.8647	1192	18831	0.00711592586692157	0.181453917830722	0.278220828589564	FALSE	TRUE
SEZC-8_43	0.97955565378195	1249523	0.9094	4205	26479	0.0141244004682956	0.0508976625776834	0.355009870043031	FALSE	TRUE
SEZC-8_45	0.930445492293617	171525	0.6342	1089	1774	0.0169109357384442	0.955351255389297	0.272249418620386	FALSE	FALSE
SEZC-8_46	0.980321109980355	2582119	0.9088	4680	38353	0.0228404557661721	0.0448327983997015	0.363605597089128	FALSE	TRUE
SEZC-8_47	0.763164427659237	242628	0.8196	1093	1874	0.0341515474919957	0.931211783337713	0.264937586361691	FALSE	FALSE
SEZC-8_48	0.986178031944173	1582689	0.9184	3860	31220	0.0270339525944907	0.0661315313401481	0.35717655450291	FALSE	TRUE
SEZC-8_49	0.706599851028637	237428	0.7344	469	1255	0.0207171314741036	0.665184977541063	0.198276591226038	FALSE	FALSE
SEZC-8_50	0.974084080308378	3280484	0.8985	4326	25730	0.0570928876797513	0.0494840020662062	0.3441403592461	FALSE	TRUE
SEZC-8_51	0.979003967923534	1196453	0.913	3591	13084	0.0235402017731581	0.0794680807300686	0.341093684604964	FALSE	TRUE
SEZC-8_53	0.983446594436276	3084353	0.9147	4781	28084	0.0227887765275602	0.0449979575667355	0.366652468854973	FALSE	TRUE
SEZC-8_54	0.98371055788108	1155716	0.8737	1053	9930	0.0280966767371601	0.135058942503268	0.260783926269076	FALSE	TRUE
SEZC-8_55	0.985613174706005	2808026	0.9102	4132	17435	0.0278176082592486	0.061952614672908	0.34801774431476	FALSE	TRUE
SEZC-8_56	0.984489078121246	2035496	0.916	4110	21057	0.0337654936600655	0.0401235011719464	0.361131189596867	FALSE	TRUE
SEZC-8_57	0.967150501911637	1558467	0.8972	3841	30560	0.0449607329842932	0.0691851465932419	0.351419745263985	FALSE	TRUE
SEZC-8_58	0.938276430218502	1229601	0.8552	2271	14524	0.11367391903057	0.210056976358976	0.30058075142485	FALSE	TRUE
SEZC-8_59	0.919955837703561	195899	0.8511	1126	3765	0.0470119521912351	0.492394476417171	0.27521252183626	FALSE	FALSE
