	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SD-1_70	0.982662425874086	2181577	0.864	3838	18959	0.0464159502083443	0.0954910704400009	0.438851772110144	FALSE	TRUE
SD-1_71	0.984804347091974	2290283	0.8812	3580	17091	0.0350476859165643	0.100433342769402	0.431812783988135	FALSE	TRUE
SD-1_72	0.987208700917409	4145103	0.8796	5581	43918	0.0710187166993032	0.0223422620224064	0.457879828948745	FALSE	TRUE
SD-1_73	0.940318432199934	1206369	0.8524	3412	13212	0.0252800484408114	0.0865267249803427	0.419893023102047	FALSE	TRUE
SD-1_74	0.92091670551955	989008	0.8141	2331	9240	0.0508658008658009	0.197385215879241	0.361653786585284	FALSE	TRUE
SD-1_75	0.96901163694508	814758	0.8526	2498	9352	0.0564585115483319	0.160670156682706	0.370624344198134	FALSE	TRUE
SD-1_77	0.959100348633783	435864	0.8031	964	2463	0.280958181079984	0.463763726601274	0.266614261416994	FALSE	FALSE
SD-1_78	0.931809479806374	525441	0.7707	934	3661	0.282163343348812	0.326169245689967	0.273691891136504	FALSE	FALSE
SD-1_79	0.959442620287972	967872	0.8293	1984	6773	0.0928687435405286	0.268134086420835	0.355312155799327	FALSE	FALSE
SD-1_80	0.900436192965007	170905	0.7667	546	806	0.0558312655086849	0.943495560998858	0.231431113966243	FALSE	FALSE
SD-1_81	0.752411616055612	231866	0.6311	1475	3014	0.0497677504976775	0.948510102036668	0.340627396551097	FALSE	FALSE
SD-1_82	0.792852121957649	235194	0.6262	1264	2599	0.0931127356675645	0.952491542612075	0.323391765597404	FALSE	FALSE
SD-1_83	0.976473345125016	787496	0.8645	3164	17632	0.0522912885662432	0.112404805626947	0.402022341364322	FALSE	TRUE
SD-1_85	0.972477474195507	1276010	0.8587	5621	44473	0.0765633080745621	0.0198510857423777	0.451891435868816	FALSE	TRUE
SD-1_86	0.984050835750108	2007443	0.8661	4081	45916	0.0874422859134071	0.0539302337593765	0.427041775754909	FALSE	TRUE
SD-1_87	0.972974567586871	789556	0.8519	2571	15342	0.10481032459914	0.180557130297561	0.386710562413545	FALSE	TRUE
SD-1_88	0.895006876123982	86966	0.7683	915	1981	0.0257445734477537	0.687105985314841	0.280138081347732	FALSE	FALSE
SD-1_89	0.979332069586274	2297361	0.8598	5098	35459	0.0744521842127528	0.0441898166692249	0.455436912023588	FALSE	TRUE
SD-1_90	0.962821017014551	1214130	0.8457	3547	18585	0.0979284369114878	0.0641004171914931	0.420778884530069	FALSE	TRUE
SD-1_91	0.97870814131017	494207	0.8558	3125	9642	0.0426260112009956	0.107875586752497	0.411502761803089	FALSE	TRUE
SD-1_93	0.98252395016937	1257344	0.8719	3535	18664	0.0709922846120874	0.0754031194563171	0.419358252791224	FALSE	TRUE
SD-1_94	0.929058791642607	193424	0.7461	509	731	0.0369357045143639	0.972424447428739	0.22090193259892	FALSE	FALSE
SD-1_95	0.979553526887479	829082	0.867	3248	11497	0.0667130555797164	0.0780209049766071	0.401539235479718	FALSE	TRUE
SD-1_96	0.974324118810028	482905	0.8673	3103	10371	0.0591071256388005	0.078547518514361	0.410861845524743	FALSE	TRUE
SD-2_01	0.960845625427115	1271009	0.7857	3261	11864	0.0918745785569791	0.0825580400720532	0.400563509176259	FALSE	TRUE
