orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
WT_1_8-2	WT	81581	31658	33263.3538067874	13829	atac	Fibro-FBLN1	0.71606307697112	7.95461031288245	16.4534335198454	1.70905009307342	0.120058016032915	-0.115666004720209	-0.092707651815819
WT_1_8-3	WT	106251	39098	41161.9410341271	15043	atac	Fibro-FBLN1	0.515864451270785	9.81119759163321	17.9684426357013	2.60943532905388	1.79197538904096	-0.115666004720209	-0.092707651815819
WT_1_8-4	WT	101700	38183	38668.2425114381	14570	atac	Glial	0.9799762510687	16.7892503073772	25.3069012806156	-1.04018241792797	0.0749341392696048	-0.115666004720209	-0.092707651815819
WT_1_8-5	WT	60121	25101	26926.0514711695	12734	atac	Fibro-ADAM28	0.346793822309738	-16.2812166571205	16.9172352815476	2.19127299564093	0.339643244627319	-0.115666004720209	-0.092707651815819
WT_1_8-6	WT	142771	50881	53807.7298109474	16506	atac	Epi	0.835675985418404	38.5507012705336	5.67115644899233	1.08444289965652	-0.260774390866947	-0.115666004720209	-0.092707651815819
WT_1_8-8	WT	186973	61196	62732.3839525912	17424	atac	Fibro-FBLN1	0.293344971138159	8.47387767820328	20.0846433767803	1.84639329836991	-0.353280789989699	-0.115666004720209	-0.092707651815819
WT_1_9-1	WT	94475	35430	37450.5549220714	14582	atac	Fibro-ADAM28	0.39216136880524	7.04345851019771	18.9817294917055	-0.135539034049181	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_9-2	WT	68134	29767	31251.3881518105	13347	atac	Fibro-ADAM28	0.507565667004379	10.6583999103033	22.8224583709645	0.460117281379878	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_9-3	WT	74677	28479	30089.6446765961	13296	atac	Fibro-FBLN1	0.21523482451399	4.66593318642613	25.8913621442729	0.907858130886929	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_9-4	WT	95532	35131	37427.0515001995	14429	atac	Fibro-FBLN1	0.577093857225635	7.62872845945069	19.9743913972216	0.596285665638599	0.9625120809458	-0.115666004720209	-0.092707651815819
WT_1_9-5	WT	46184	21189	22557.5930279207	11617	atac	Fibro-ADAM28	0.38511906291621	-16.9610097606909	18.9524103645444	-1.04018241792797	1.88840046256359	-0.115666004720209	-0.092707651815819
WT_1_9-6	WT	81094	35603	36575.883772558	14104	atac	Fibro-KCNJ8	0.339004068196359	1.04756180233852	26.3767100415193	-0.116323304760844	1.36653672804238	-0.115666004720209	-0.092707651815819
WT_1_9-7	WT	92940	35325	36122.8965210344	14555	atac	T	0.785372583306843	5.20419975662582	-33.8324273677643	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_9-8	WT	258019	71870	71957.9381653519	17840	atac	DC/Macro	0.854665444649904	-3.18137497325061	-39.0734780759059	1.00161530994976	1.21453945141553	-0.115666004720209	-0.092707651815819
WT_1_10-2	WT	67573	26596	28340.6528558224	12942	atac	Fibro-KCNJ8	0.189220751425925	0.887393214462158	25.2922468269923	-1.04018241792797	1.89101260730944	-0.115666004720209	-0.092707651815819
WT_1_10-3	WT	69701	27595	29138.5483306349	13099	atac	Fibro-ADAM28	0.308997593332979	-0.418364474927838	22.2703072071733	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_10-4	WT	188958	58971	61847.3672563964	17035	atac	Fibro-FBLN1	0.803349263711853	11.2262992620237	15.280335721543	-0.209051193228275	-0.284076077941633	-0.115666004720209	-0.092707651815819
WT_1_10-5	WT	116499	43407	46045.6620040709	15552	atac	Epi	0.696980031133323	39.0942958638324	4.98652501941956	1.11991657255515	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_10-6	WT	94903	34951	37029.1107307674	14442	atac	Fibro-FBLN1	0.67048006100798	9.62824326968217	16.6843266351629	-1.04018241792797	2.01552771075051	-0.115666004720209	-0.092707651815819
WT_1_10-7	WT	89025	34565	36656.3463839678	14403	atac	Fibro-ADAM28	0.252736073626752	6.50717509142023	19.6414892690745	-0.549421160034151	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_10-8	WT	189747	60207	63622.8377945215	17118	atac	Endo	0.97067185955525	-22.4924079364711	18.5438923427526	1.36621372554081	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_11-1	WT	87623	32906	34601.324665381	14322	atac	CACNA1A-ELF3+	0.417324675658502	35.2485104875773	3.33739037420737	-0.0697743946150641	0.18184623914283	-0.115666004720209	-0.092707651815819
WT_1_11-2	WT	72701	30204	31415.9217280532	13521	atac	Erythrocyte	0.385019199201667	-1.56967962917917	16.6607008987028	2.86200060564271	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_11-3	WT	103875	37872	39764.7259780577	14816	atac	Fibro-FBLN1	0.745058549972444	9.8422744625142	16.5886081828422	0.517213428234266	-0.0390730474081963	-0.115666004720209	-0.092707651815819
WT_1_11-4	WT	130182	45471	47674.2700866457	15925	atac	Fibro-ADAM28	0.397950659366916	3.87831995843854	21.0126184957854	-0.312316723363805	1.231367765366	-0.115666004720209	-0.092707651815819
WT_1_11-5	WT	79473	31521	33306.7569658138	13802	atac	Fibro-FBLN1	0.339341056720072	8.99774752965455	19.1631663994911	-0.036607911098265	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_11-6	WT	115727	45992	48192.3687412054	15989	atac	Epi	0.56747998765746	38.2554291433952	6.83321324495276	1.26979141605222	-0.110788094459805	-0.115666004720209	-0.092707651815819
WT_1_11-7	WT	95087	37114	38944.6387573749	14638	atac	Fibro-FBLN1	0.709207363439647	10.0944420407529	16.8464129534839	-0.166569469111782	0.0683960972958869	-0.115666004720209	-0.092707651815819
WT_1_12-1	WT	167411	49967	52442.2321160031	16403	atac	Fibro-ADAM28	0.406141457675265	2.24306776244095	20.5681611355863	1.12664864587584	0.225328185346441	-0.115666004720209	-0.092707651815819
