p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-35618	2.22627386450168e-49	0.355578709302481	0.947	0.339	2.92470050127315e-44	Epi	Peak-35618
Peak-3500	1.16548944412068e-48	0.379268609552461	1	0.894	1.53112679253021e-43	Epi	Peak-3500
Peak-5803	5.76307198528922e-48	0.43783491768487	1	0.882	7.57106292851416e-43	Epi	Peak-5803
Peak-8591	1.60657234480338e-47	0.278801221173551	0.985	0.541	2.11058622081509e-42	Epi	Peak-8591
Peak-7082	4.61002844050576e-47	0.317343379681904	0.992	0.748	6.05628656286123e-42	Epi	Peak-7082
Peak-8604	9.50814498542677e-47	0.251971536744711	1	0.49	1.24910402302549e-41	Epi	Peak-8604
Peak-7211	1.2609295655987e-46	0.251385498212072	1	0.527	1.65650838891832e-41	Epi	Peak-7211
Peak-30995	1.44985380507321e-46	0.303828095076317	0.947	0.336	1.90470194080078e-41	Epi	Peak-30995
Peak-17988	1.5344535534449e-46	0.260012636255924	0.992	0.524	2.01584232223163e-41	Epi	Peak-17988
Peak-1536	2.30781063312355e-46	0.37584554018887	1	0.938	3.03181698494707e-41	Epi	Peak-1536
Peak-11744	2.48217236674672e-46	0.258633780095445	1	0.493	3.2608794816425e-41	Epi	Peak-11744
Peak-27889	4.15031752308671e-46	0.476961901182308	0.954	0.445	5.45235513642947e-41	Epi	Peak-27889
Peak-14569	4.97032525556791e-46	0.393223178838824	0.977	0.653	6.52961569474467e-41	Epi	Peak-14569
Peak-8842	9.98527180464056e-46	0.300107558693952	1	0.588	1.31178512751924e-40	Epi	Peak-8842
Peak-7406	6.40651235212023e-45	0.318848807246953	1	0.801	8.4163634072274e-40	Epi	Peak-7406
Peak-8766	1.70978866090468e-44	0.310171404645165	1	0.821	2.2461835596037e-39	Epi	Peak-8766
Peak-6923	1.74365070628542e-44	0.277434853363853	1	0.77	2.29066880586128e-39	Epi	Peak-6923
