cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
WDOU_C-B2_41	3322	15386	.	0.0303522682958534	WDOU_C-B2	WDOU_C	6	1	1-4	4	4	-19.9718381051433	-19.0191397974832	0.991085175883521	1354364	0.89	0.0303069634629113	0.153372371655896	0.350802247034428	FALSE	TRUE	ECM-4
WDOU_C-B2_42	2111	20439	.	0.0280346396594745	WDOU_C-B2	WDOU_C	6	2	1-4	7	15	24.7483485565476	32.0811838671923	0.957178001416711	1325416	0.8621	0.0277925983411748	0.108177791303172	0.233709123378276	FALSE	TRUE	Erythrocyte
WDOU_C-B2_44	3398	14046	.	0.0328207318809626	WDOU_C-B2	WDOU_C	6	4	1-4	0	0	-2.96158977518333	5.98566918377343	0.984991964212974	1481416	0.9077	0.0327368271552336	0.0869127581585239	0.339708822982583	FALSE	TRUE	PROM1-0
WDOU_C-B2_45	3207	15750	.	0.046984126984127	WDOU_C-B2	WDOU_C	6	5	5-8	8	8	-22.933459618188	-26.4284333477625	0.991228194884772	1249532	0.9136	0.0467791895821481	0.152891658170828	0.318413817271672	FALSE	TRUE	ECM-K
WDOU_C-B2_48	3217	12771	.	0.0407172500195756	WDOU_C-B2	WDOU_C	6	8	5-8	0	0	8.38169223317913	14.5074518537259	0.979728341921253	1360382	0.9094	0.0405015966975621	0.146419028232704	0.325894176113876	FALSE	TRUE	PROM1-0
WDOU_C-B2_49	3357	15777	.	0.0357482411104773	WDOU_C-B2	WDOU_C	7	1	1-4	0	0	-5.15214531784147	-3.21596822603683	0.987103150521041	1597068	0.895	0.0356939434213025	0.146731478475093	0.342790021709002	FALSE	TRUE	PROM1-0
WDOU_C-B2_51	4775	38093	.	0.0155409130286404	WDOU_C-B2	WDOU_C	7	3	1-4	4	4	-4.23538402051661	-23.1647000151842	0.993052831700957	2871676	0.9049	0.0155242041223056	0.0627314573710522	0.378990507911586	FALSE	TRUE	ECM-4
WDOU_C-B2_52	5186	45248	.	0.117419554455446	WDOU_C-B2	WDOU_C	7	4	1-4	12	12	24.4108728492691	-26.5313203877172	0.990096225426673	2835874	0.8797	0.116612892605518	0.0296704489132762	0.348344934930519	FALSE	TRUE	Epi-19
WDOU_C-B2_54	6665	89409	.	0.0118891834155398	WDOU_C-B2	WDOU_C	7	6	5-8	3	3	-16.6872809619097	30.3991665925813	0.987926588869265	3757881	0.9076	0.0118663555887967	0.0345433148777347	0.384260454752966	FALSE	TRUE	PROM1-Pro
WDOU_C-B2_55	1895	3771	.	0.126756828427473	WDOU_C-B2	WDOU_C	7	7	5-8	7	7	29.1157347513074	-17.6056735911012	0.980778164775454	425080	0.8079	0.124381993234452	0.026910007507666	0.190081360334985	FALSE	TRUE	CACNA1A+
WDOU_C-B2_56	4373	20754	.	0.0184060903922135	WDOU_C-B2	WDOU_C	7	8	5-8	0	0	2.6686263024555	16.2328873918623	0.991543864623474	2128787	0.9007	0.0183362933806941	0.0797860571810612	0.362867637132851	FALSE	TRUE	PROM1-0
WDOU_C-B2_60	3659	13968	.	0.0279209621993127	WDOU_C-B2	WDOU_C	8	4	1-4	0	0	8.86999030962906	11.045639458392	0.990223696711218	1617243	0.8985	0.0278730703259005	0.0783381527227885	0.356692495711559	FALSE	TRUE	PROM1-0
WDOU_C-B2_61	6468	78745	.	0.0771350561940441	WDOU_C-B2	WDOU_C	8	5	5-8	12	12	24.6274561238569	-26.8979498213901	0.99150432384725	4370944	0.8793	0.0767017127566926	0.0314594947294951	0.359577431794529	FALSE	TRUE	Epi-19
WDOU_C-B2_65	3267	16894	.	0.0414348289333491	WDOU_C-B2	WDOU_C	9	1	1-4	10	10	0.648724957177204	45.807185587969	0.984550981295036	1402318	0.9053	0.0413345143194567	0.114394393736496	0.316194232082487	FALSE	TRUE	T
WDOU_C-B2_66	3285	16329	.	0.0472778492253047	WDOU_C-B2	WDOU_C	9	2	1-4	1	1	-23.0085114553432	-15.0023672256919	0.993646918713194	1577864	0.8954	0.0471767294060132	0.128310892256998	0.342640292414581	FALSE	TRUE	ECM-1
WDOU_C-B2_70	3862	20568	.	0.0449727732399844	WDOU_C-B2	WDOU_C	9	6	5-8	1	1	-26.1760842369628	-4.21433574587286	0.94982645707068	1402975	0.9062	0.0448876595331683	0.0962383096415227	0.355760175846363	FALSE	TRUE	ECM-1
WDOU_C-B2_72	4203	27868	.	0.0284196928376633	WDOU_C-B2	WDOU_C	9	8	5-8	11	11	12.205635506533	-35.8237589069487	0.984524137113097	2134123	0.908	0.0283464566929134	0.0707168012710181	0.348347522879734	FALSE	TRUE	Glial
WDOU_C-B2_73	3893	24137	.	0.0286282470895306	WDOU_C-B2	WDOU_C	10	1	1-4	13	13	-1.06599952652283	-33.4657886225323	0.986117584244979	1974811	0.8828	0.0285431038043703	0.0846541861520258	0.348448820332049	FALSE	TRUE	Ms-N
WDOU_C-B2_76	4256	20989	.	0.0208680737529182	WDOU_C-B2	WDOU_C	10	4	1-4	0	0	-4.81439698434434	-1.51068971766962	0.987756138346444	2001163	0.914	0.0208303609644742	0.0843553896348067	0.375078529859053	FALSE	TRUE	PROM1-0
WDOU_C-B2_77	5346	49913	.	0.00981708172219662	WDOU_C-B2	WDOU_C	10	5	5-8	1	1	-22.4916861608878	-8.8673626783831	0.989267129228101	2913366	0.8949	0.00977692645356958	0.0726383501096993	0.370992812023477	FALSE	TRUE	ECM-1
WDOU_C-B2_80	5241	30205	.	0.0155272305909618	WDOU_C-B2	WDOU_C	10	8	5-8	3	3	-3.03830990480197	25.6401516949517	0.985427818622616	2510199	0.9009	0.0154897945703151	0.0724300802387816	0.375584492132489	FALSE	TRUE	PROM1-Pro
WDOU_C-B2_82	4859	44286	.	0.0230772704692228	WDOU_C-B2	WDOU_C	11	2	1-4	9	9	44.4148249606039	10.7349231547771	0.992700441087441	2979047	0.8858	0.0229998874760887	0.0669323867854346	0.360355728017736	FALSE	TRUE	Endo
WDOU_C-B2_83	2597	12836	.	0.0335774384543472	WDOU_C-B2	WDOU_C	11	3	1-4	14	14	10.9975592277251	44.6023543751366	0.988870678574548	1661403	0.8629	0.0332407835878451	0.0634776059019342	0.264056648412755	FALSE	TRUE	Neutrophil
WDOU_C-B2_85	4342	27289	.	0.0299754479827037	WDOU_C-B2	WDOU_C	11	5	5-8	1	1	-32.9616829635427	-12.3833131686356	0.993502065995674	1827804	0.9203	0.0299217206818348	0.0929153982496613	0.369730170742321	FALSE	TRUE	ECM-1
WDOU_C-B2_86	2550	11599	.	0.0851797568755927	WDOU_C-B2	WDOU_C	11	6	5-8	14	14	10.8958754126733	44.6530336900084	0.970784526053416	1223890	0.8802	0.0844372275873857	0.0920470909829848	0.267929545758511	FALSE	TRUE	Neutrophil
WDOU_C-B2_87	3646	18766	.	0.0352232761376958	WDOU_C-B2	WDOU_C	11	7	5-8	8	8	-23.8212669813319	-20.6213349400148	0.915775566468847	1568623	0.8889	0.0351670568206001	0.130816456968646	0.349538377118452	FALSE	TRUE	ECM-K
WDOU_C-B2_88	3398	16071	.	0.0472901499595545	WDOU_C-B2	WDOU_C	11	8	5-8	1	1	-10.5011460623576	-4.29013090346034	0.972847276847453	1528795	0.894	0.0471376294734231	0.102517518422256	0.32406787104759	FALSE	TRUE	ECM-1
WDOU_C-B2_92	3654	23487	.	0.0217992932260399	WDOU_C-B2	WDOU_C	12	4	1-4	8	8	-23.1083798149551	-25.4473929623991	0.976943373583107	1881456	0.898	0.0217428231696959	0.103512652423656	0.340258860850535	FALSE	TRUE	ECM-K
WDOU_C-B2_93	5246	42893	.	0.0851420977781922	WDOU_C-B2	WDOU_C	12	5	5-8	12	12	24.5258420547675	-26.7955662068199	0.990220882020354	1848057	0.892	0.0846428405877717	0.0602913457419648	0.346447738122387	FALSE	TRUE	Epi-19
