RNA_cell	ATAC_cell	score
WT_C-D6_94	WT_10_9-3	0.757804090419806
WD_C-B10_38	WT_10_9-3	0.65016146393972
WD_C-B10_96	WT_10_9-3	0.919268030139935
WD_C-B1_04	WT_10_9-5	0.165769644779333
WDOU_C-D5_77	WT_10_11-8	0.031216361679225
WT_C-C2_73	WT_10_11-8	0.00430570505920345
WT_C-C4_58	WT_10_11-8	0.085037674919268
WD_C-B5_96	WT_10_11-8	0.085037674919268
WT_C-D3_04	WT_10_12-4	0.381054897739505
WT_C-D1_38	WT_11_1-6	0.085037674919268
WDOU_C-B1_60	WT_11_2-7	0.138858988159311
WT_C-C10_30	WT_11_2-7	0.138858988159311
WD_C-B4_83	WT_11_2-7	0.192680301399354
WD_C-C6_37	WT_11_2-7	0.381054897739505
WT_C-D11_85	WT_11_3-3	0.085037674919268
WD_C-B5_05	WT_11_3-5	0.65016146393972
WD_C-B7_43	WT_11_3-5	0.381054897739505
WD_C-B9_04	WT_11_3-5	0.596340150699677
WDOU_C-D1_46	WT_11_4-7	0.542518837459634
WT_C-D7_16	WT_11_4-7	0.488697524219591
WD_C-C1_52	WT_11_4-7	0.434876210979548
WDOU_C-B3_43	WT_11_5-4	0.892357373519914
WDOU_C-C6_50	WT_11_5-4	1
WT_C-C4_73	WT_11_6-3	0.354144241119483
WT_C-C4_77	WT_11_6-3	0.354144241119483
WT_C-C5_51	WT_11_6-3	0.488697524219591
WT_C-C9_78	WT_11_6-3	0.569429494079656
WD_C-B2_67	WT_11_6-3	0.354144241119483
WDOU_C-B5_93	WT_11_6-5	0.434876210979548
WDOU_C-D4_88	WT_11_6-5	0.623250807319699
WDOU_C-C3_68	WT_11_6-8	0.623250807319699
WDOU_C-B6_18	WT_11_7-3	0.488697524219591
WDOU_C-C6_12	WT_11_7-3	0.703982777179763
WDOU_C-C1_18	WT_11_7-5	0.596340150699677
WD_C-B1_79	WT_11_8-6	0.165769644779333
WDOU_C-B1_96	WT_11_8-7	0.085037674919268
WDOU_C-C6_89	WT_11_8-7	0.327233584499462
WT_C-B2_27	WT_11_8-7	0.30032292787944
WT_C-D1_49	WT_11_9-7	0.192680301399354
WT_C-C5_27	WT_11_10-2	0.596340150699677
WT_C-C11_18	WT_11_10-7	0.138858988159311
WD_C-B5_33	WT_11_10-7	0.031216361679225
WT_C-D8_19	WT_11_12-5	0.11194833153929
WD_C-C3_90	WT_11_12-5	0.165769644779333
WT_C-C7_92	WT_11_12-7	0.192680301399354
WT_C-C3_13	WT_12_1-4	0.407965554359526
WT_C-B6_49	WT_12_1-4	0.381054897739505
WDOU_C-C6_65	WT_12_1-5	0.165769644779333
WT_C-C1_76	WT_12_1-5	0.596340150699677
WT_C-C3_19	WT_12_1-5	0.327233584499462
WT_C-C4_80	WT_12_1-5	0.515608180839613
WT_C-B7_49	WT_12_1-5	0.703982777179763
WDOU_C-D2_19	WT_12_1-6	0.542518837459634
WD_C-C2_02	WT_12_1-6	0.65016146393972
WD_C-C7_95	WT_12_1-6	0.461786867599569
WD_C-C8_09	WT_12_1-6	0.461786867599569
WDOU_C-C2_12	WT_12_1-7	0.031216361679225
WT_C-D9_77	WT_12_1-7	0.138858988159311
WT_C-D2_13	WT_12_2-3	0.192680301399354
WT_C-D3_17	WT_12_2-3	0.138858988159311
WT_C-D4_38	WT_12_2-3	0.11194833153929
WT_C-D4_49	WT_12_3-3	0.192680301399354
WD_C-C1_49	WT_12_4-1	0.138858988159311
WD_C-C8_44	WT_12_4-1	0.354144241119483
WT_C-B5_03	WT_12_4-1	0.165769644779333
WT_C-B7_04	WT_12_4-1	0.30032292787944
WD_C-C3_92	WT_12_4-3	0.192680301399354
WDOU_C-C10_06	WT_12_5-5	0.031216361679225
WDOU_C-D6_57	WT_12_5-5	0.138858988159311
WDOU_C-C10_78	WT_12_5-6	1
WT_C-C11_03	WT_12_5-6	0.919268030139935
WT_C-B6_25	WT_12_5-6	1
WDOU_C-B7_55	WT_12_6-3	0.165769644779333
WT_C-C9_13	WT_12_6-4	0.434876210979548
WD_C-B2_60	WT_12_7-3	0.031216361679225
WT_C-D1_16	WT_12_7-4	0.407965554359526
WT_C-D2_65	WT_12_8-1	0.192680301399354
WD_C-B1_30	WT_12_8-2	0.327233584499462
WD_C-B4_49	WT_12_8-2	0.354144241119483
WT_C-B6_43	WT_12_8-2	0.30032292787944
WDOU_C-C6_07	WT_12_8-4	0.65016146393972
WDOU_C-D7_80	WT_12_8-4	0.946178686759957
WT_C-C2_19	WT_12_8-4	1
WD_C-B1_08	WT_12_8-4	1
WDOU_C-D7_77	WT_12_8-7	0.407965554359526
WT_C-C2_51	WT_12_8-7	0.569429494079656
WT_C-C3_46	WT_12_8-7	0.407965554359526
WT_C-D4_23	WT_12_8-7	0.569429494079656
WT_C-D7_63	WT_12_8-7	0.273412271259419
WDOU_C-C6_12	WT_12_9-2	0.65016146393972
