orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
RC_3_8-5	RC	93467	37820	43144.5829211809	15540	atac	PC-BCAT1	0.458318908641092	16.3345442209169	-5.48485521208226	1.72299791682628	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_8-6	RC	160180	57861	61405.095780055	16448	atac	Podocyte-PLA2R1	0.345172290084282	-19.933720853359	-5.49365358904683	-0.35372936139064	0.495546359316488	-0.137176119874149	-0.239124391960033
RC_3_8-7	RC	88087	33914	39305.1763115174	14772	atac	PT	0.520124158744316	2.25645271492844	-32.6305320449187	0.484651692726712	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-1	RC	73036	28343	32475.0411790305	13950	atac	Podocyte-PLA2R1	0.779403354627581	-10.5808348562997	-17.4299233629669	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-2	RC	51026	21210	24224.3250223953	11915	atac	PT	0.811058834546162	-1.21893457415349	-23.4932547586727	0.861606008243157	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-3	RC	87575	33437	39215.8672938219	14626	atac	PT	0.967707314434859	-2.41887749396232	-27.9740655085087	2.79847210876196	2.26477224362361	-0.137176119874149	-0.239124391960033
RC_3_9-4	RC	74970	29636	34304.2341730643	14172	atac	DT	0.368433301074442	15.8615066589468	-9.57291473190095	1.28307183250032	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-5	RC	80313	31026	35603.6180682394	14297	atac	PC-BCAT1	0.839403447510155	19.0915666996974	-0.204751265275208	-0.484409045858216	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-6	RC	101548	36576	42035.561032841	15669	atac	LoH	0.420374444931852	12.6360217203208	-8.47843977286151	-0.221094691320252	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-7	RC	48714	21209	24594.1178583801	12137	atac	CM	0.512155204581239	5.10568606100773	-16.5474594227616	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_9-8	RC	50901	21189	24116.8672734698	11764	atac	Fibro-ALDH1A2	0.897220992344303	-1.85886389182354	-0.200663791841581	-0.107088721323811	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_10-1	RC	31581	14630	16323.0442392688	9330	atac	Podocyte-PLA2R1	0.559169904694382	-13.9735276744424	-8.45608212684684	1.61349506396897	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_10-2	RC	39554	16565	18885.5194159177	10322	atac	Podocyte-PLA2R1	0.947581510197168	-11.9587291677699	-17.9330983405292	0.189419712666054	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_10-3	RC	58345	22997	25646.6975376218	12436	atac	Fibro-CYP1B1	0.698669915188739	-6.77126861120606	-3.14016781451189	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_10-4	RC	44270	18522	21262.7262430799	10974	atac	Podocyte-PLA2R1	0.923673533632778	-12.2156406123301	-18.8794366531145	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_10-5	RC	107972	41520	46061.3156008773	15916	atac	CM	0.885927636405194	6.8958744258353	-18.3107296862002	0.480446745943548	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_10-6	RC	147101	54941	58767.0991968053	15649	atac	LoH-Prog	0.477631111106024	3.11524187428153	-4.88741431400371	-0.312069502794724	-0.526283963774248	-0.137176119874149	3.09308739129529
RC_3_10-7	RC	84075	34118	37401.2224719828	13559	atac	Endo-TEK	0.68922946881732	-15.4946044952545	5.06867776923642	-0.524652106652706	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_11-1	RC	123085	47115	50782.7089294147	15154	atac	Fibro-CYP1B1	0.304081056273983	4.89886318659418	10.1694494998903	-0.163384814070167	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_11-2	RC	87701	32050	35134.4617267403	14412	atac	Endo-TEK	0.684451396928625	-16.3988435380564	2.35841345689889	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
