p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-58327-1	4.26985990840049e-49	0.109563129935948	0.603	0.195	1.42448504348112e-43	Fibro-0	Peak-58327-1
Peak-20708-2	4.27611294018856e-49	0.186403609613257	0.815	0.458	1.42657114242807e-43	Fibro-0	Peak-20708-2
Peak-18001-1	4.3717581265405e-49	0.112180382584122	0.683	0.272	1.45847971562768e-43	Fibro-0	Peak-18001-1
Peak-28404-3	5.68689627093438e-49	0.157034263344031	0.805	0.431	1.8972282125315e-43	Fibro-0	Peak-28404-3
Peak-33516-2	6.29584962701937e-49	0.141181906853105	0.707	0.316	2.10038357746844e-43	Fibro-0	Peak-33516-2
Peak-40232-1	1.08245078542373e-48	0.130772138684904	0.718	0.312	3.61120736328351e-43	Fibro-0	Peak-40232-1
Peak-96417-1	1.11786900697117e-48	0.135937757429028	0.711	0.312	3.7293675089168e-43	Fibro-0	Peak-96417-1
Peak-60015-1	1.26317641830156e-48	0.12214250755361	0.666	0.256	4.21413337615255e-43	Fibro-0	Peak-60015-1
Peak-73644-1	1.41654618510621e-48	0.119799840447741	0.599	0.205	4.72579638998024e-43	Fibro-0	Peak-73644-1
Peak-23252-2	1.65732105876867e-48	0.173423827786536	0.892	0.588	5.52905507700053e-43	Fibro-0	Peak-23252-2
Peak-31913-2	1.86720840082598e-48	0.174535636595121	0.843	0.491	6.22926863433158e-43	Fibro-0	Peak-31913-2
Peak-104528-1	2.04678379742446e-48	0.116672050066888	0.662	0.255	6.82835729793964e-43	Fibro-0	Peak-104528-1
Peak-123967-1	2.2009574657375e-48	0.113625487451925	0.617	0.207	7.34270223974549e-43	Fibro-0	Peak-123967-1
Peak-14901-2	2.4655894106026e-48	0.127603859225432	0.742	0.335	8.22555145628777e-43	Fibro-0	Peak-14901-2
Peak-118704-1	4.9593935524953e-48	0.0977188809902719	0.599	0.192	1.65452312062217e-42	Fibro-0	Peak-118704-1
Peak-106479-1	5.55766670881337e-48	0.135402825992566	0.666	0.274	1.85411542139406e-42	Fibro-0	Peak-106479-1
Peak-13133-1	6.76880980300379e-48	0.151473984054475	0.85	0.505	2.25816971361931e-42	Fibro-0	Peak-13133-1
Peak-69111-1	7.13994864153572e-48	0.114664113480802	0.676	0.263	2.3819868260973e-42	Fibro-0	Peak-69111-1
Peak-8972-10	9.01735551298847e-48	0.159449574083128	0.808	0.44	3.00831604211014e-42	Fibro-0	Peak-8972-10
Peak-12790-1	1.20754152436885e-47	0.129191241202249	0.714	0.299	4.02852758110791e-42	Fibro-0	Peak-12790-1
Peak-38426-1	1.72160661512464e-47	0.151104646915499	0.725	0.347	5.7435206929819e-42	Fibro-0	Peak-38426-1
Peak-34842-1	1.75791742974707e-47	0.140660709385445	0.76	0.38	5.86465865407638e-42	Fibro-0	Peak-34842-1
Peak-19031-2	1.83374245368409e-47	0.103026050785019	0.669	0.266	6.11762154943364e-42	Fibro-0	Peak-19031-2
Peak-39086-1	1.85585678356716e-47	0.129753518143052	0.672	0.286	6.19139804992974e-42	Fibro-0	Peak-39086-1
Peak-14322-2	2.18673354209032e-47	0.168250105510169	0.909	0.592	7.29524923910921e-42	Fibro-0	Peak-14322-2
Peak-54494-1	2.27426002164815e-47	0.170243265493672	0.787	0.434	7.58724982862125e-42	Fibro-0	Peak-54494-1
Peak-127020-1	2.44550906398134e-47	0.07796509766279	0.537	0.156	8.15856060871071e-42	Fibro-0	Peak-127020-1
Peak-31046-1	2.63025766889634e-47	0.135302833657345	0.749	0.378	8.77490781951184e-42	Fibro-0	Peak-31046-1
Peak-77480-1	3.23629368022277e-47	0.126288992244922	0.679	0.274	1.07967287983384e-41	Fibro-0	Peak-77480-1
Peak-25887-1	3.42777420213681e-47	0.169677739777749	0.819	0.474	1.14355346267167e-41	Fibro-0	Peak-25887-1
Peak-36171-2	3.56992992576494e-47	0.099467384625317	0.571	0.187	1.19097860225415e-41	Fibro-0	Peak-36171-2
Peak-59371-1	3.81668244968099e-47	0.138015796196983	0.718	0.329	1.27329869876788e-41	Fibro-0	Peak-59371-1
Peak-123984-1	4.86634325541122e-47	0.0840254490044256	0.533	0.153	1.62348023881076e-41	Fibro-0	Peak-123984-1
Peak-12036-1	5.21325775339761e-47	0.132170766511454	0.686	0.298	1.73921577214199e-41	Fibro-0	Peak-12036-1
Peak-117023-1	5.58702480600996e-47	0.078204266271266	0.537	0.151	1.86390969363221e-41	Fibro-0	Peak-117023-1
Peak-83506-1	7.44356660145911e-47	0.126229840628942	0.596	0.213	2.48327802817918e-41	Fibro-0	Peak-83506-1
Peak-24061-1	9.25331816811747e-47	0.14330711300443	0.76	0.368	3.08703648733834e-41	Fibro-0	Peak-24061-1
Peak-65841-1	9.30462881178009e-47	0.118821879678238	0.585	0.203	3.1041544364132e-41	Fibro-0	Peak-65841-1
Peak-66674-1	1.08085634741511e-46	0.146586694283629	0.753	0.358	3.60588809486544e-41	Fibro-0	Peak-66674-1
Peak-12440-3	1.39064461218179e-46	0.147992916976236	0.847	0.513	4.63938511648414e-41	Fibro-0	Peak-12440-3
Peak-8972-9	1.41755335341997e-46	0.127329903797092	0.794	0.398	4.7291564444785e-41	Fibro-0	Peak-8972-9
Peak-3610-15	1.47060200497797e-46	0.171706988363145	0.93	0.681	4.90613417288722e-41	Fibro-0	Peak-3610-15
Peak-100586-1	1.60884066649666e-46	0.117309606567492	0.624	0.227	5.36731770112618e-41	Fibro-0	Peak-100586-1
Peak-63625-1	1.80117422179009e-46	0.138390091766955	0.711	0.326	6.00896936828277e-41	Fibro-0	Peak-63625-1
Peak-20833-1	2.03828364459861e-46	0.151820463475609	0.826	0.485	6.79999959809122e-41	Fibro-0	Peak-20833-1
Peak-46944-1	2.20078740740653e-46	0.122207472354426	0.655	0.266	7.34213490134522e-41	Fibro-0	Peak-46944-1
Peak-55408-1	2.39851159726286e-46	0.15065977049905	0.728	0.361	8.00177048009252e-41	Fibro-0	Peak-55408-1
Peak-62723-1	3.15247511356113e-46	0.135391241855167	0.749	0.367	1.05170983253558e-40	Fibro-0	Peak-62723-1
Peak-101575-1	4.35291754585282e-46	0.0833650793392626	0.544	0.159	1.45219423414214e-40	Fibro-0	Peak-101575-1
Peak-98377-1	4.49181734269648e-46	0.105373322197607	0.554	0.184	1.49853315096634e-40	Fibro-0	Peak-98377-1
Peak-57243-1	5.01833421906542e-46	0.128736696474842	0.749	0.352	1.67418655215929e-40	Fibro-0	Peak-57243-1
Peak-40845-1	5.08611395658394e-46	0.128748327163293	0.662	0.282	1.69679882151179e-40	Fibro-0	Peak-40845-1
Peak-17028-2	5.11562408432047e-46	0.178592287004387	0.895	0.63	1.70664381326649e-40	Fibro-0	Peak-17028-2
Peak-48425-1	5.18905471041868e-46	0.156255149428213	0.69	0.309	1.73114129816162e-40	Fibro-0	Peak-48425-1
Peak-37181-1	5.78393214329786e-46	0.147323812753217	0.767	0.385	1.92960073805417e-40	Fibro-0	Peak-37181-1
Peak-60557-1	6.25246855272309e-46	0.160858282187724	0.808	0.429	2.08591104374816e-40	Fibro-0	Peak-60557-1
Peak-53050-1	6.37863534426637e-46	0.0970844372260559	0.603	0.214	2.12800205174208e-40	Fibro-0	Peak-53050-1
Peak-38206-2	7.55364784893108e-46	0.138591258484132	0.753	0.371	2.52000267347329e-40	Fibro-0	Peak-38206-2
Peak-114810-1	9.40294711389491e-46	0.112267499329352	0.592	0.208	3.13695479845494e-40	Fibro-0	Peak-114810-1
Peak-24494-1	1.11486836052496e-45	0.096562987702092	0.627	0.222	3.71935693228174e-40	Fibro-0	Peak-24494-1
Peak-42557-1	1.2745789995889e-45	0.142828179430069	0.707	0.331	4.25217398368852e-40	Fibro-0	Peak-42557-1
Peak-73430-1	1.35616567113488e-45	0.112610766105459	0.544	0.166	4.52435854209991e-40	Fibro-0	Peak-73430-1
Peak-27104-1	1.45715749528751e-45	0.122783579439792	0.645	0.266	4.86128140632847e-40	Fibro-0	Peak-27104-1
Peak-8871-2	1.73090132110711e-45	0.184251540012227	0.878	0.604	5.77452913339827e-40	Fibro-0	Peak-8871-2
Peak-11820-2	2.35341777289771e-45	0.134721285565047	0.749	0.363	7.85133116887497e-40	Fibro-0	Peak-11820-2
Peak-77716-1	2.42221755982018e-45	0.12830560874726	0.669	0.286	8.0808568900185e-40	Fibro-0	Peak-77716-1
Peak-9839-3	2.64976773866719e-45	0.142446372981071	0.721	0.372	8.83999614367716e-40	Fibro-0	Peak-9839-3
Peak-122783-1	2.8500468500718e-45	0.103513807591571	0.551	0.177	9.50815529839855e-40	Fibro-0	Peak-122783-1
Peak-38638-2	3.15982839546901e-45	0.166042551968711	0.798	0.471	1.054162990326e-39	Fibro-0	Peak-38638-2
Peak-26446-1	3.63697458113862e-45	0.083183864299472	0.551	0.16	1.21334563791198e-39	Fibro-0	Peak-26446-1
Peak-34791-1	4.69083959714249e-45	0.132634359142639	0.679	0.304	1.5649297613611e-39	Fibro-0	Peak-34791-1
Peak-37239-3	8.22029087220173e-45	0.128012826442456	0.711	0.326	2.74240411903871e-39	Fibro-0	Peak-37239-3
Peak-13432-1	8.50166301046867e-45	0.089388060201703	0.704	0.283	2.83627380357449e-39	Fibro-0	Peak-13432-1
Peak-60533-1	8.56325635814015e-45	0.107568190674101	0.624	0.234	2.85682220666457e-39	Fibro-0	Peak-60533-1
Peak-40817-1	9.42342546184473e-45	0.165133551935358	0.78	0.438	3.14378666202787e-39	Fibro-0	Peak-40817-1
Peak-7387-7	1.02056598331009e-44	0.178487397393934	0.93	0.74	3.40475099956013e-39	Fibro-0	Peak-7387-7
Peak-13402-1	1.13015210887649e-44	0.145245170831838	0.753	0.392	3.77034565650721e-39	Fibro-0	Peak-13402-1
Peak-53319-1	1.35691656896611e-44	0.143625056610604	0.652	0.283	4.52686364239059e-39	Fibro-0	Peak-53319-1
Peak-56147-1	1.67672269430959e-44	0.13707397470736	0.774	0.404	5.59378164939399e-39	Fibro-0	Peak-56147-1
Peak-26405-1	1.88577949083645e-44	0.152592355292653	0.794	0.462	6.29122439055911e-39	Fibro-0	Peak-26405-1
Peak-25034-1	1.95689890885609e-44	0.111203997800539	0.606	0.226	6.52848872579117e-39	Fibro-0	Peak-25034-1
Peak-19561-1	2.05127247175802e-44	0.12339238467572	0.753	0.387	6.84333214393082e-39	Fibro-0	Peak-19561-1
Peak-25985-2	2.46298131278338e-44	0.120321760505894	0.683	0.315	8.21685047682914e-39	Fibro-0	Peak-25985-2
Peak-13146-2	3.28699494081463e-44	0.111611367958426	0.683	0.287	1.09658753018493e-38	Fibro-0	Peak-13146-2
Peak-20235-3	3.80745817568006e-44	0.106159187441722	0.77	0.387	1.27022135182133e-38	Fibro-0	Peak-20235-3
Peak-46749-1	4.24302207259555e-44	0.0989768427223411	0.578	0.206	1.41553156572689e-38	Fibro-0	Peak-46749-1
Peak-23606-1	5.18267264769062e-44	0.132649150162061	0.718	0.323	1.72901215268666e-38	Fibro-0	Peak-23606-1
Peak-116005-1	5.9791357684749e-44	0.0958501839235712	0.571	0.194	1.99472340026399e-38	Fibro-0	Peak-116005-1
Peak-17556-1	6.37292800946572e-44	0.158435968375989	0.784	0.441	2.1260980049499e-38	Fibro-0	Peak-17556-1
Peak-13179-1	6.58590120674139e-44	0.0837797076838944	0.544	0.174	2.19714884518582e-38	Fibro-0	Peak-13179-1
Peak-35630-1	6.64133649575351e-44	0.154599201153189	0.784	0.442	2.21564283369431e-38	Fibro-0	Peak-35630-1
Peak-122618-1	6.92725595311725e-44	0.0834738798416267	0.547	0.164	2.31102956754326e-38	Fibro-0	Peak-122618-1
Peak-10792-2	7.99343696744132e-44	0.182174832744909	0.885	0.614	2.66672248045597e-38	Fibro-0	Peak-10792-2
Peak-13000-3	9.05455570095785e-44	0.138315670997429	0.714	0.344	3.02072654561935e-38	Fibro-0	Peak-13000-3
Peak-57689-2	9.62072843019971e-44	0.151978249172398	0.794	0.434	3.20960969451264e-38	Fibro-0	Peak-57689-2
Peak-112624-1	9.8172368026976e-44	0.0773218726064228	0.481	0.127	3.27516763869516e-38	Fibro-0	Peak-112624-1
Peak-47200-4	1.03786341107205e-43	0.14904353751555	0.739	0.39	3.46245764021389e-38	Fibro-0	Peak-47200-4
Peak-5013-15	1.08148732322317e-43	0.153703487231873	0.878	0.551	3.60799311849776e-38	Fibro-0	Peak-5013-15
Peak-18179-3	1.1323464582931e-43	0.140637325498307	0.725	0.339	3.77766631336996e-38	Fibro-0	Peak-18179-3
Peak-24259-4	1.14566419828744e-43	0.191024553365097	0.913	0.647	3.82209615847466e-38	Fibro-0	Peak-24259-4
Peak-81124-1	1.23307001782221e-43	0.119083043482875	0.672	0.283	4.11369420925739e-38	Fibro-0	Peak-81124-1
Peak-16691-2	1.80343357623238e-43	0.153810971227975	0.763	0.401	6.0165068910119e-38	Fibro-0	Peak-16691-2
Peak-16187-1	2.17141793852872e-43	0.151238674735332	0.753	0.403	7.2441542414432e-38	Fibro-0	Peak-16187-1
Peak-19001-3	2.51478323408479e-43	0.120921568885291	0.679	0.307	8.38966893855964e-38	Fibro-0	Peak-19001-3
