Lung.Fibro-0	Ovary.Granulosa-R-Al	Pancreas.Fibro-PAMR1+SOX6+	Small intestine.Fibro-COL14A1	Small intestine.Fibro-COL6A5	Small intestine.SM-Visceral	Small intestine.T	Stomach.Fibro-ADAM28	Stomach.Fibro-FBLN1	Stomach.Fibro-IRF1
MD17	149.885875038777	154.651452220279	143.309717460504	164.962812820185	152.003772272003	160.665590751493	147.332025422237	163.175582303542	165.459909849305	161.922282956895
MD18	104.503285926427	118.040301488733	94.1102115737317	90.1922948033797	98.8206793021548	101.029903602302	107.837166658652	100.636003928415	101.583110066786	103.68206831197
MD19	108.248179424541	122.461393606029	105.133499560422	100.129420031995	102.368173900303	115.439590522045	113.756876213653	106.139068356735	92.2725383637403	101.096421211929
MD20	169.595982852586	208.427791600456	167.796546890498	173.140492006796	188.530785469299	182.232449048211	173.677879799829	190.858844613956	173.100491015894	177.854288881674
MD21	95.6714151572966	91.9098555507733	88.7068106848886	88.0524981635923	94.0563346374797	137.077929145187	98.5463846803505	83.3902916325767	81.7000048299132	80.462541008088
MD22	122.482425838932	171.298900332107	113.091778448402	112.368264349873	115.979914755619	126.730011298194	174.491778589072	104.597552705857	116.292723128037	112.160062235004
MD23	153.885340765407	190.383675835997	139.981871762312	142.267738997377	141.41091691815	196.263703282593	133.942753045975	160.903714937048	153.825007806118	155.365819383012
MD24	198.515703635516	312.565773203195	181.107356975682	215.949921638051	216.629643671983	218.811665751671	244.444510033425	267.16384948347	258.559265148044	270.988870156526
MD25	386.872627758754	540.549847336135	371.335105547554	392.286457886821	391.075404949039	431.543967498435	389.07100575132	443.800696165993	502.372113904429	473.395019539444
MD26	366.021303631711	317.341787740326	326.295193696064	349.248398684204	332.993737620919	358.13806887518	439.516351565123	287.34820505455	304.11731659253	311.673302699309
MD27	800.015016115052	812.961318956929	802.929206998382	873.029946213879	810.001167055225	886.55013163929	1026.71152717211	831.041305963558	1025.35170556907	844.121741099617
MD28	101.888705567254	154.32286401167	101.649543286339	102.574914317613	124.330486373618	117.669973177078	138.011882964464	110.933370434821	100.969381783204	114.479819678593
MD29	51.8625706283178	86.7868022011886	57.4070859934374	62.1245772472289	58.2266221878804	61.3888645007719	55.252667180881	63.6206011927243	75.0462909554714	71.3135105573627
MD30	534.850148225363	35.0426834250417	115.135716199474	202.282841167029	222.490567903167	312.411112036908	12.7483358916985	275.979804552687	221.394844515833	225.591151744313
MD31	677.852337559024	238.067886567997	1138.95861905771	1657.63068269131	779.257845158164	952.031195943214	94.098469681801	826.011238338733	1867.36564327222	689.725256701851
MD32	848.681737812111	191.136442897297	2344.55362535929	3353.09319727866	999.664687821615	1007.03371249926	64.884714241547	907.036678132366	2965.24652673868	740.717794242052
MD33	278.415761766659	86.0424530201317	183.655248709484	157.291443011899	148.443449003223	127.857299410319	31.7912064849543	146.248300659581	152.618135564515	132.508043784925
MD34	552.914598598373	53.8258581825116	348.689830050656	333.69291017366	191.085451217295	246.639897507005	37.0128691836041	164.136603102056	332.859945899248	143.88108655335
MD35	253.284237569705	51.6365344655042	160.022322281544	128.537491658408	167.178870692287	159.026175799449	44.8702989949709	182.350337798917	131.51784642268	166.804717663989
MD36	996.613045906034	1400.47843555975	1032.76782575887	768.509596625147	796.590454292781	828.216731006733	940.46499900602	640.355115256654	650.855113451825	475.084330052965
MD37	209.016792618621	279.043093852719	183.049394168422	182.263043840123	185.26064223816	196.69588756459	211.543217494895	171.096091445208	145.240659506427	173.100053552844
MD38	116.028162470494	150.474812259123	123.781323395968	128.444873870004	119.842885386401	129.243472961754	153.424739769531	110.284405514933	109.078658927102	120.021561174897
MD39	200.496140818558	324.697536342636	245.425591629444	212.790664255512	224.274580034414	206.056090760999	291.901179748981	216.133663745842	251.354160874487	226.653909258761
MD40	352.16875579189	800.476066402154	380.463712125724	431.941168048933	398.408251030093	475.739913349452	266.894408583986	466.278993031736	616.949497952253	540.63201703022
MD41	303.848768528902	194.891648752421	151.184167646633	158.913183417662	189.411126355026	185.998284720324	61.6931960615338	203.536726208224	136.362622444448	163.421312851498
MD42	140.065292702218	268.418923662128	152.288440193725	159.226409287721	260.883690704105	161.678439831187	801.156215618376	142.829147807395	123.856908999139	157.852001219852
MD43	85.4320344695087	148.333143326429	73.1759252469098	62.443942598957	48.3005662865574	65.1423104470773	68.3492899143692	46.6195081981042	47.0932914727243	41.8318045441201
