mdid	size	TF	PPI	GO	KEGG	class	avgCor_Lung.Fibro-0	avgCor_Ovary.Granulosa-R-Al	avgCor_Pancreas.Fibro-PAMR1+SOX6+	avgCor_Small intestine.Fibro-COL14A1	avgCor_Small intestine.Fibro-COL6A5	avgCor_Small intestine.SM-Visceral	avgCor_Small intestine.T	avgCor_Stomach.Fibro-ADAM28	avgCor_Stomach.Fibro-FBLN1	avgCor_Stomach.Fibro-IRF1	avgExpr_Lung.Fibro-0	avgExpr_Ovary.Granulosa-R-Al	avgExpr_Pancreas.Fibro-PAMR1+SOX6+	avgExpr_Small intestine.Fibro-COL14A1	avgExpr_Small intestine.Fibro-COL6A5	avgExpr_Small intestine.SM-Visceral	avgExpr_Small intestine.T	avgExpr_Stomach.Fibro-ADAM28	avgExpr_Stomach.Fibro-FBLN1	avgExpr_Stomach.Fibro-IRF1
MD33	20	TRUE	FALSE	TRUE	TRUE	Development	0.134313021355855	0.0111750892632285	0.0273691145974913	0.0160248903444061	0.0202806846160708	0.0182448765299888	0.0234504295169324	0.00995148123518102	0.0274389991749766	0.0326867097284086	278.415761766659	86.0424530201317	183.655248709484	157.291443011899	148.443449003223	127.857299410319	31.7912064849543	146.248300659581	152.618135564515	132.508043784925
MD6	27	FALSE	TRUE	TRUE	FALSE	Development	0.129215420440874	0.0190219547006965	0.0234511190851928	0.0198306248099078	0.0254070855345477	0.0251546073143003	0.00920490460203692	0.0168371182445211	0.0261644511343895	0.0221239688359411	424.068324193315	48.8794374882735	360.76153498868	272.808871420755	167.774564827061	180.205085124342	12.1155828926863	317.073311458706	177.267335652484	255.69204366057
MD213	17	FALSE	FALSE	TRUE	FALSE	Development	0.0270455071773769	0.00758007121232892	0.0187112028679952	0.011055332534134	0.0463091199486304	0.0351549270359566	-0.0118894528143714	0.0491954111951469	0.0254441389708329	0.106947419294742	140.729831908941	135.917920874422	188.967467815711	86.2757191107334	176.364875430329	103.426584604563	36.4964104550205	179.497721041157	67.371459829225	168.253354625429
MD45	120	TRUE	TRUE	TRUE	TRUE	Development	0.0236639262312785	0.172848013368517	0.0112932699421041	0.0172082558555478	0.0132421959764407	0.0160757088842306	0.00868689642560158	0.0139758809944992	0.0172542828349917	0.0130818223029525	169.059805670908	269.169977785473	370.91309149507	451.822839380478	220.918827693987	229.410400700131	93.012665099165	205.146176353472	441.635931760891	176.518500361506
MD41	29	TRUE	FALSE	TRUE	FALSE	Development	0.0154143309018156	0.120294853111925	0.00805096885335374	0.0183411095210466	0.0189412167947807	0.0185431961797693	0.0134192745760053	0.0157125063937396	0.0172571211391651	0.0264595045384782	303.848768528902	194.891648752421	151.184167646633	158.913183417662	189.411126355026	185.998284720324	61.6931960615338	203.536726208224	136.362622444448	163.421312851498
MD89	11	FALSE	TRUE	TRUE	TRUE	ECM organization	0.126099713225306	0.0381791333081577	0.168194505409801	0.129126335400647	0.157577703816719	0.0908240635994267	0.0490739568691092	0.0817293179780934	0.0861095143316509	0.0757263339138034	649.59750187646	194.291444103652	3007.29856664634	4225.13926518053	1168.57353809176	1352.31337294539	26.382719825198	1153.19264261777	3714.63705703369	915.010376365081
MD32	21	FALSE	TRUE	TRUE	TRUE	ECM organization	0.171864210927973	0.0261417177520905	0.100889495887233	0.0939928684153006	0.0802291813217312	0.11125740766993	0.0403928404967929	0.0585618952412181	0.0752652997405624	0.0719527603178112	848.681737812111	191.136442897297	2344.55362535929	3353.09319727866	999.664687821615	1007.03371249926	64.884714241547	907.036678132366	2965.24652673868	740.717794242052
MD214	24	TRUE	TRUE	TRUE	TRUE	ECM organization	0.0203355339185362	0.014923896193257	0.0128008784482937	0.014923965827049	0.0878962085391797	0.0258623876995189	0.0204495303014865	0.145603730636253	0.013882727521489	0.208118462272424	332.425234754757	40.1203991800486	362.071320554161	359.788923401345	431.666389399873	225.791920645649	54.6207395806617	409.836637277942	250.907292751555	340.203377188445
MD178	25	TRUE	TRUE	TRUE	TRUE	ECM organization	0.0166359402225551	0.00740713205590892	0.0146218916197957	0.0157416493585475	0.0891085140112815	0.0570991650674766	0.00964137536981687	0.174130590258323	0.0162959459396129	0.160713023724266	129.659440660104	41.5072421389708	232.591868110739	174.012829463916	442.089597654608	199.758674279549	48.0015839728075	457.841259032765	164.652208033462	356.923711702881
MD205	42	TRUE	TRUE	TRUE	TRUE	ECM organization	0.0434513416238643	0.026154829741887	0.0274462993902439	0.0354373357479228	0.0673863933016244	0.023050382903838	0.0176976921463931	0.103470405984531	0.0525700882434834	0.164456606478161	432.063912988112	76.9329206172037	307.362577546076	334.443768674826	272.212796727498	392.765702638976	29.6177513358405	296.103177355795	479.666120470086	238.447828640019
MD82	37	FALSE	TRUE	TRUE	TRUE	ECM organization	0.0355195278082057	0.0162673361824343	0.0392374259867735	0.140574831183577	0.046657636858446	0.0479395146605592	0.0253023242984534	0.0437531713003152	0.0593735079548542	0.0433128360768672	544.699261413305	68.6955020606556	381.622512625061	360.873724774637	438.811635894096	635.30159086023	21.3044450123255	408.642460339584	431.624292295524	328.825652906723
MD110	12	TRUE	FALSE	TRUE	FALSE	ECM organization	0.0166791778926278	0.0072450843994176	0.0582751771806927	0.0365772828404632	0.039040431344151	0.186321143095752	0.0195020047597835	0.0352234765314963	0.0372200812541656	0.043917547578204	258.780773972459	62.8887583700969	347.764180858004	186.084373363196	502.498073533764	194.859228889704	10.4265690252275	441.404698787809	216.045568822175	359.012099467823
MD30	22	FALSE	TRUE	TRUE	FALSE	ECM organization	0.163823018674753	0.0230266204744765	0.0280588879870868	0.0372106939815364	0.0143443603075669	0.0113136810555139	0.00823778679549306	0.0284232872629058	0.0311383276089978	0.0303085602304456	534.850148225363	35.0426834250417	115.135716199474	202.282841167029	222.490567903167	312.411112036908	12.7483358916985	275.979804552687	221.394844515833	225.591151744313
MD188	17	FALSE	FALSE	TRUE	FALSE	ECM organization	0.0560959732485137	0.0111235200259525	0.0533121914331288	0.045264423458476	0.0107635313682524	0.0328215659608953	0.0164153829774429	0.0149094766359834	0.109854468487589	0.0247579718432785	190.638252814195	52.6928622480391	261.032342315123	333.053257482658	198.187451490287	209.637187747085	20.0492030600203	306.096396947304	488.172071173612	229.110290545951
MD122	22	TRUE	FALSE	TRUE	FALSE	Gene expression regulation	0.06623186344374	0.0687061842689705	0.0834074462099733	0.112108609987048	0.109561685804959	0.145842665203872	0.270685268899107	0.0456188234760496	0.0901291386882109	0.0604982699983329	105.369907075674	82.3184675030297	128.829599118389	171.727361907182	190.605981264272	170.486710795264	1501.37335000838	91.3244295300108	135.097543145137	253.236214287532
