Lung.Fibro-0	Ovary.Granulosa-R-Al	Pancreas.Fibro-PAMR1+SOX6+	Small intestine.Fibro-COL14A1	Small intestine.Fibro-COL6A5	Small intestine.SM-Visceral	Small intestine.T	Stomach.Fibro-ADAM28	Stomach.Fibro-FBLN1	Stomach.Fibro-IRF1
MD31	0.146090081322656	0.039318854450619	0.0801120561628859	0.0764707183154014	0.0438795525783272	0.0570895773866393	0.024750667275243	0.035758148201188	0.0926476939474686	0.0450421133634816
MD32	0.171864210927973	0.0261417177520905	0.100889495887233	0.0939928684153006	0.0802291813217312	0.11125740766993	0.0403928404967929	0.0585618952412181	0.0752652997405624	0.0719527603178112
MD33	0.134313021355855	0.0111750892632285	0.0273691145974913	0.0160248903444061	0.0202806846160708	0.0182448765299888	0.0234504295169324	0.00995148123518102	0.0274389991749766	0.0326867097284086
MD34	0.215712332993548	0.0169042934060577	0.0451376076243458	0.0241763330858467	0.0200930618471843	0.0440023761707112	0.0272357926424045	0.0219692631312098	0.033735378963424	0.0472392024283825
MD35	0.0942386370914413	0.0146930943574856	0.0197650045983682	0.0255115612901326	0.0206236722312638	0.0140242460611089	-0.0121339467214866	0.00996934768545985	0.0104458630829933	-0.0014698758063634
MD36	0.03211761058452	0.0881891744625042	0.0396781412168508	0.043380115021462	0.0317763938906423	0.0380291606957493	0.0746897172977365	0.0249600011970182	0.0404811595185991	0.0332906082050831
MD37	0.0956214924873496	0.125657300136197	0.0723798189896323	0.0680796351174397	0.0478476851854872	0.0596363687002137	0.0983065689377652	0.0437781745167026	0.0808605363627857	0.0608570243791346
MD38	0.0804575838046663	0.100337772443301	0.030521875588554	0.0339519087908505	0.0328789577806763	0.0404633257303551	0.0697515025322967	0.0246441373063648	0.0409964113657489	0.0316483116537865
MD39	0.0627493448209517	0.0978652379175679	0.0415972788496278	0.0337144037342067	0.035877945042096	0.0317745966258476	0.0491907982973958	0.0397884658572383	0.032147197638836	0.0405952201971187
MD40	0.0682247069968578	0.147389054232565	0.0608607454841231	0.0619136812284216	0.0559350318445348	0.0529309610152467	0.0552740040238876	0.070062381571158	0.0354919161778042	0.0595442529690461
MD41	0.0154143309018156	0.120294853111925	0.00805096885335374	0.0183411095210466	0.0189412167947807	0.0185431961797693	0.0134192745760053	0.0157125063937396	0.0172571211391651	0.0264595045384782
MD42	0.0244181419647542	0.101304089274735	0.0135650088067537	0.0196753605294776	0.0155882044854864	0.0197853437268343	0.0242324599280338	0.0176032186631406	0.0154332846612001	0.0160732803938354
MD43	0.0191022921397531	0.114409909394513	0.021012211085929	0.0199897752163306	0.0233417814003188	0.0151662812180897	0.0192280604130082	0.0148725993986956	0.0210128313241941	0.0188289485522874
MD44	0.0309675413029499	0.107839748513373	0.0170587780468749	0.0120173719248193	0.0168031412953084	0.0126969304030425	0.0180126099401002	0.0053357850525826	0.0100092180158154	0.0142720154660512
MD45	0.0236639262312785	0.172848013368517	0.0112932699421041	0.0172082558555478	0.0132421959764407	0.0160757088842306	0.00868689642560158	0.0139758809944992	0.0172542828349917	0.0130818223029525
MD46	0.0904588273983614	0.113652476958623	0.0978373742665037	0.101697540743843	0.0827835118685153	0.0917857568346934	0.0923113703312016	0.0926591297668579	0.0970891994173824	0.0926834007703341
MD47	0.0285930729809987	0.097761891366588	0.0277460657281728	0.0283660744627495	0.0245150416377176	0.0206245674513605	0.0218907450941746	0.0300715112981492	0.0311960504078686	0.0206170232351197
MD48	0.0396233594702651	0.140261732309793	0.0502989020733514	0.0342399905480531	0.0263738497178121	0.0402722798538469	0.0254840882136001	0.0307458389515015	0.0455748296213355	0.0258987518579175
MD49	0.0243538051176934	0.156077070359239	0.037813702790135	0.0339956665645762	0.0303743915757689	0.0118478655622444	0.18552957019846	0.0290031482124114	0.0399509046465324	0.0183096841589839
MD50	0.0461353282448893	0.148929931074138	0.125318073505871	0.0773396145097695	0.0790027870449455	0.0837235947377766	0.0265496904872387	0.0606725824678865	0.11475214657724	0.0225680190104146
MD51	0.230502893702662	0.270895332483559	0.364062005981532	0.251850725617846	0.278490209217718	0.327286987480075	0.0984516387006926	0.191030079453923	0.29887774136325	0.0729080753366224
MD52	0.0306425101308662	0.116693651319653	0.023938125987572	0.0251310537249813	0.0090426260621648	0.0102195799278375	0.0161657691383193	0.00868811474247914	0.0118849191861677	0.0166828425276561
MD53	0.141011580540593	0.134224715367724	0.103465903349983	0.0738320023468511	0.0775739295453221	0.0810001909503381	0.102921927808083	0.0592241138594497	0.0874628276943513	0.0525728149016571
MD54	0.0669419106104948	0.100126103763439	0.0588894024586438	0.0385574829781958	0.0425725827771802	0.0405628398647924	0.0911332777153322	0.0355991631477285	0.041077716844489	0.0361750447749895
MD55	0.0793042768426865	0.106642027070053	0.0686779538522836	0.0374459400752771	0.0408014681089515	0.0348795173743371	0.101972866366118	0.0483265609313132	0.0590638245495777	0.0437301431576187
MD56	0.193318979191719	0.32766123974166	0.225606914317699	0.143297440302056	0.147027264528942	0.15957198288047	0.333173013192766	0.115209953775804	0.184530571639868	0.0916392330321378
MD57	0.0424875040458613	0.0974507921721509	0.0246689670183847	0.0210222267716821	0.0328654316168773	0.0307570329737023	0.0398882864550554	0.0219976442104505	0.0333852130576806	0.0168076444580851
MD58	0.087692313530072	0.13628893127148	0.0690037255851584	0.0712873907769515	0.0744311026477589	0.0691083927137572	0.0925875960797813	0.067879994359749	0.0678379432413315	0.0603607148553988
MD59	0.0337511336585085	0.0152520583540256	0.0980024005419101	0.0511644101150564	0.017701866374052	0.035587869935832	0.0185742374826252	0.0164647802317771	0.0372286146021809	0.0208524119496679
MD60	0.0333063339483869	0.0155193034825471	0.217504100214387	0.0776123516314672	0.0192226817436497	0.034053282978217	0.0278359675814705	0.0225969471598559	0.06786919478795	0.0361431181685189
MD61	0.00232308480971768	-0.00282647958357907	0.100604345925069	0.00574783481690371	0.013349412351377	0.0212273803724642	-0.016302463784864	0.00809803667883931	0.00541355987826805	0.0283132026812428
