p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-55409-1	2.05528253219275e-15	0.195873540353158	0.826	0.182	6.85671026694952e-10	Erythrocyte-Prol	Peak-55409-1
Peak-187996-1	2.28263880428827e-15	0.0716446318422187	0.435	0.034	7.61520262053825e-10	Erythrocyte-Prol	Peak-187996-1
Peak-80867-1	2.49025902988011e-15	0.169682309375786	0.652	0.102	8.30785275994424e-10	Erythrocyte-Prol	Peak-80867-1
Peak-41333-2	2.61773715722464e-15	0.340585710050905	0.913	0.286	8.7331376397034e-10	Erythrocyte-Prol	Peak-41333-2
Peak-11046-1	2.89964419272585e-15	0.147475183689145	0.696	0.117	9.67361897712043e-10	Erythrocyte-Prol	Peak-11046-1
Peak-25874-1	3.46321939681001e-15	0.08503513033126	0.435	0.034	1.15537847584737e-09	Erythrocyte-Prol	Peak-25874-1
Peak-101177-1	3.51319104657512e-15	0.192812393673962	0.652	0.102	1.17204971781211e-09	Erythrocyte-Prol	Peak-101177-1
Peak-127297-1	3.61510515102212e-15	0.209207053770573	0.652	0.102	1.20604968985309e-09	Erythrocyte-Prol	Peak-127297-1
Peak-21778-1	3.76312116414739e-15	0.399327619203983	0.913	0.302	1.25542990405587e-09	Erythrocyte-Prol	Peak-21778-1
Peak-81006-1	3.80041813332048e-15	0.247648297352369	0.783	0.172	1.26787269512958e-09	Erythrocyte-Prol	Peak-81006-1
Peak-42650-2	4.12483768332175e-15	0.376739096873702	0.957	0.302	1.3761035988837e-09	Erythrocyte-Prol	Peak-42650-2
Peak-68379-1	4.17120977503274e-15	0.153566801106292	0.783	0.148	1.39157397788777e-09	Erythrocyte-Prol	Peak-68379-1
Peak-53459-3	4.27127420173222e-15	0.149545313975441	0.696	0.12	1.42495687153669e-09	Erythrocyte-Prol	Peak-53459-3
Peak-154649-1	4.40992762207737e-15	0.0648601874504346	0.478	0.043	1.47121359371172e-09	Erythrocyte-Prol	Peak-154649-1
Peak-102311-1	5.8458691495022e-15	0.119780872222036	0.609	0.083	1.95026379044203e-09	Erythrocyte-Prol	Peak-102311-1
Peak-47046-1	7.17524498913618e-15	0.28674206360977	0.826	0.206	2.39376218180568e-09	Erythrocyte-Prol	Peak-47046-1
Peak-145146-1	7.59935439105649e-15	0.111662029893092	0.522	0.055	2.53525101581792e-09	Erythrocyte-Prol	Peak-145146-1
Peak-39972-3	8.14535230606784e-15	0.465429095316394	0.913	0.32	2.71740356423652e-09	Erythrocyte-Prol	Peak-39972-3
Peak-49134-1	8.57570672698758e-15	0.175249704251511	0.739	0.132	2.86097582401724e-09	Erythrocyte-Prol	Peak-49134-1
Peak-69128-1	8.58295778827722e-15	0.12958059213126	0.565	0.071	2.86339487957832e-09	Erythrocyte-Prol	Peak-69128-1
Peak-47510-2	9.12585443959899e-15	0.219769479713393	0.913	0.252	3.04451280301238e-09	Erythrocyte-Prol	Peak-47510-2
Peak-75924-1	9.34908225996669e-15	0.156575499644738	0.696	0.126	3.11898472907653e-09	Erythrocyte-Prol	Peak-75924-1
Peak-37256-2	9.52299253780796e-15	0.381790358621898	0.957	0.342	3.17700363250827e-09	Erythrocyte-Prol	Peak-37256-2
Peak-7486-6	9.52942344014757e-15	0.177728925559764	0.696	0.117	3.17914907156139e-09	Erythrocyte-Prol	Peak-7486-6
Peak-101043-1	9.75335550677078e-15	0.132971418197823	0.565	0.071	3.25385594403583e-09	Erythrocyte-Prol	Peak-101043-1
Peak-140422-1	1.0109643507956e-14	0.0850338189206155	0.565	0.068	3.37271860926325e-09	Erythrocyte-Prol	Peak-140422-1
Peak-51543-1	1.13163574418347e-14	0.305400588683917	0.913	0.271	3.77529527160026e-09	Erythrocyte-Prol	Peak-51543-1
Peak-31336-2	1.40144365005189e-14	0.333492772281046	0.87	0.292	4.67541221868412e-09	Erythrocyte-Prol	Peak-31336-2
Peak-141859-1	1.46305412015293e-14	0.131806807580292	0.522	0.062	4.880953372407e-09	Erythrocyte-Prol	Peak-141859-1
Peak-60898-1	1.58082965141568e-14	0.104724365961784	0.609	0.083	5.27386903327392e-09	Erythrocyte-Prol	Peak-60898-1
Peak-43052-1	1.5842255744735e-14	0.371657173978719	0.87	0.265	5.28519830802401e-09	Erythrocyte-Prol	Peak-43052-1
Peak-18865-2	1.62287112730181e-14	0.29881236783484	0.957	0.338	5.41412528263665e-09	Erythrocyte-Prol	Peak-18865-2
Peak-42097-2	1.64275482502707e-14	0.20024851049433	0.913	0.24	5.48046008196582e-09	Erythrocyte-Prol	Peak-42097-2
Peak-21513-1	1.67122094915052e-14	0.207023552582183	0.957	0.262	5.57542705729901e-09	Erythrocyte-Prol	Peak-21513-1
Peak-12315-4	1.67819653815263e-14	0.210005115296727	0.783	0.175	5.59869859879251e-09	Erythrocyte-Prol	Peak-12315-4
